direction,sweep_time,sweep_source,sweep_extreme,break_time,block_time,block_top,block_bottom,entry,sl,tp,outcome,sweep_time_thai,break_time_thai,block_time_thai
1,2025-04-22 13:45:00,asian,3408.591,2025-04-22 14:30:00,2025-04-22 14:15:00,3433.808,3424.549,3433.808,3423.523635714286,3454.3767285714284,signal,2025-04-22 20:45:00,2025-04-22 21:30:00,2025-04-22 21:15:00
-1,2025-04-28 15:25:00,prev_day,3336.044,2025-04-28 15:35:00,2025-04-28 15:15:00,3336.044,3329.282,3329.282,3336.6051214285712,3314.635757142858,signal,2025-04-28 22:25:00,2025-04-28 22:35:00,2025-04-28 22:15:00
1,2025-04-29 12:40:00,asian,3303.793,2025-04-29 12:50:00,2025-04-29 12:45:00,3310.227,3306.981,3310.227,3306.5472714285715,3317.5864571428565,signal,2025-04-29 19:40:00,2025-04-29 19:50:00,2025-04-29 19:45:00
1,2025-04-29 13:50:00,asian,3299.712,2025-04-29 13:50:00,,,,,,,no_order_block,2025-04-29 20:50:00,2025-04-29 20:50:00,
1,2025-04-29 14:00:00,asian,3303.54,2025-04-29 14:00:00,2025-04-29 14:00:00,3310.794,3304.957,,,,price_inside_zone,2025-04-29 21:00:00,2025-04-29 21:00:00,2025-04-29 21:00:00
1,2025-04-29 14:10:00,asian,3299.649,2025-04-29 14:10:00,2025-04-29 14:05:00,3307.588,3299.649,3307.588,3299.0104428571426,3324.7431142857154,signal,2025-04-29 21:10:00,2025-04-29 21:10:00,2025-04-29 21:05:00
-1,2025-05-02 12:25:00,asian,3263.942,2025-05-02 12:30:00,,,,,,,no_order_block,2025-05-02 19:25:00,2025-05-02 19:30:00,
-1,2025-05-02 12:45:00,asian,3262.987,2025-05-02 12:45:00,2025-05-02 12:45:00,3257.614,3252.803,,,,price_inside_zone,2025-05-02 19:45:00,2025-05-02 19:45:00,2025-05-02 19:45:00
-1,2025-05-02 15:15:00,asian,3264.195,2025-05-02 15:30:00,2025-05-02 15:10:00,3264.195,3261.556,3261.556,3264.7378785714286,3255.192242857143,signal,2025-05-02 22:15:00,2025-05-02 22:30:00,2025-05-02 22:10:00
-1,2025-05-09 07:45:00,asian,3330.509,2025-05-09 08:15:00,2025-05-09 08:10:00,3324.559,3322.229,,,,sl_too_tight,2025-05-09 14:45:00,2025-05-09 15:15:00,2025-05-09 15:10:00
-1,2025-05-09 14:00:00,asian,3334.55,2025-05-09 14:00:00,,,,,,,no_order_block,2025-05-09 21:00:00,2025-05-09 21:00:00,
1,2025-05-16 09:20:00,asian,3205.116,2025-05-16 09:25:00,2025-05-16 09:15:00,3206.95,3205.116,,,,sl_too_tight,2025-05-16 16:20:00,2025-05-16 16:25:00,2025-05-16 16:15:00
-1,2025-05-20 09:00:00,asian,3237.718,2025-05-20 10:20:00,2025-05-20 10:15:00,3234.847,3233.911,,,,sl_too_tight,2025-05-20 16:00:00,2025-05-20 17:20:00,2025-05-20 17:15:00
