side,signal_time,entry_time,entry_price,sl,tp,lots,oz,risk_usd,commission_usd,spread_cost_usd,slippage_cost_usd,swap_usd,rollovers,exit_time,exit_price,exit_reason,ambiguous,pnl_usd,r_multiple
1,2025-04-22 14:30:00,2025-04-22 14:35:00,3433.808,3423.523635714286,3454.3767285714284,0.04,0.04,0.41137457142856876,0.0,0.00636,0.003999999999996362,0.0,0,2025-04-22 15:05:00,3423.423635714286,sl,False,-0.4153745714285651,-1.0097234984313825
-1,2025-04-28 15:35:00,2025-04-28 16:05:00,3329.282,3336.6051214285712,3314.635757142858,0.06,0.06,0.43938728571426505,0.0,0.00954,0.005999999999994543,0.0,0,2025-04-28 16:10:00,3336.705121428571,sl,False,-0.4453872857142596,-1.0136553791952378
1,2025-04-29 12:50:00,2025-04-29 13:00:00,3310.227,3306.5472714285715,3317.5864571428565,0.13,0.13,0.4783647142856808,0.0,0.020800000000000003,0.0,0.0,0,2025-04-29 13:25:00,3317.5864571428565,tp,False,0.9567294285713616,2.0
1,2025-06-16 15:25:00,2025-06-16 15:45:00,3402.796,3399.4991999999997,3409.3896,0.15,0.15,0.49452000000001134,0.0,0.024,0.014999999999986358,0.0,0,2025-06-16 16:15:00,3399.3992,sl,False,-0.5095199999999976,-1.0303324435816266
-1,2025-07-10 14:20:00,2025-07-10 14:45:00,3317.848,3322.020814285714,3309.5023714285717,0.11,0.11,0.4590095714285553,0.0,0.0176,0.0022,0.0,0,2025-07-10 16:30:00,3316.535,news_close,False,0.14443000000001122,0.31465574791939105
-1,2025-07-15 09:15:00,2025-07-15 09:20:00,3360.93,3364.6593214285717,3353.471357142856,0.13,0.13,0.48481178571434613,0.0,0.020800000000000003,0.012999999999988177,0.0,0,2025-07-15 10:00:00,3364.7593214285716,sl,False,-0.4978117857143343,-1.0268145296443925
-1,2025-08-12 13:35:00,2025-08-12 13:40:00,3344.232,3349.215592857143,3334.2648142857142,0.09,0.09,0.448523357142858,0.0,0.0144,0.008999999999991815,0.0,0,2025-08-12 13:40:00,3349.3155928571427,sl,False,-0.4575233571428498,-1.0200658446358797
-1,2025-11-03 10:00:00,2025-11-03 10:25:00,4000.239,4005.8778071428574,3988.9613857142854,0.08,0.08,0.4511045714285865,0.0,0.0128,0.007999999999992725,0.0,0,2025-11-03 11:25:00,4005.9778071428573,sl,False,-0.45910457142857924,-1.017734247238191
-1,2025-11-18 12:20:00,2025-11-18 12:35:00,4037.296,4043.7808857142854,4024.3262285714286,0.07,0.07,0.4539419999999928,0.0,0.011200000000000002,0.006999999999993635,0.0,0,2025-11-18 13:00:00,4043.8808857142853,sl,False,-0.4609419999999864,-1.015420472218904
-1,2025-11-21 15:35:00,2025-11-21 15:45:00,4067.504,4075.6502214285715,4051.2115571428567,0.05,0.05,0.40731107142858036,0.0,0.008,0.0049999999999954525,0.0,0,2025-11-21 16:30:00,4075.7502214285714,sl,False,-0.4123110714285758,-1.012275629980935
1,2025-11-25 10:00:00,2025-11-25 10:25:00,4130.489,4125.470485714286,4140.526028571427,0.09,0.09,0.45166628571421824,0.0,0.0144,0.0018,0.0,0,2025-11-25 12:00:00,4133.543,news_close,False,0.2748600000000078,0.6085466387321177
1,2025-12-10 14:05:00,2025-12-10 14:20:00,4202.268,4198.587957142857,4209.6280857142865,0.12,0.12,0.44160514285718816,0.0,0.0192,0.012000000000043655,0.0,0,2025-12-10 14:25:00,4198.487957142856,sl,False,-0.4536051428572318,-1.0271735965808813
