direction,break_time,asian_high,asian_low,sl,tp,outcome,break_time_thai
-1,2017-01-03 09:30:00,1158.722,1149.682,,,against_bias,2017-01-03 16:30:00
1,2017-01-04 08:10:00,1163.351,1156.138,1159.7445,1170.6149999999998,signal,2017-01-04 15:10:00
1,2017-01-09 08:20:00,1176.538,1172.641,,,against_bias,2017-01-09 15:20:00
1,2017-01-11 08:35:00,1190.709,1185.618,,,sl_too_tight,2017-01-11 15:35:00
1,2017-01-12 08:10:00,1200.892,1192.801,1196.8465,1212.8410000000001,signal,2017-01-12 15:10:00
1,2017-01-13 08:05:00,1196.658,1191.258,1193.958,1203.768,signal,2017-01-13 15:05:00
1,2017-01-17 08:05:00,1212.889,1203.022,1207.9555,1223.6830000000002,signal,2017-01-17 15:05:00
-1,2017-01-18 07:35:00,1217.509,1210.998,,,against_bias,2017-01-18 14:35:00
1,2017-01-19 09:20:00,1204.898,1197.558,,,against_bias,2017-01-19 16:20:00
1,2017-01-20 07:10:00,1208.369,1203.099,,,sl_too_tight,2017-01-20 14:10:00
-1,2017-01-23 07:45:00,1219.449,1213.768,,,against_bias,2017-01-23 14:45:00
-1,2017-01-24 07:50:00,1218.549,1214.212,,,against_bias,2017-01-24 14:50:00
-1,2017-01-25 08:50:00,1209.779,1202.688,1206.2335,1191.1270000000002,signal,2017-01-25 15:50:00
-1,2017-01-26 09:35:00,1202.622,1195.901,1199.2615,1189.1139999999996,signal,2017-01-26 16:35:00
-1,2017-01-27 07:45:00,1188.381,1181.771,1185.076,1174.492,signal,2017-01-27 14:45:00
-1,2017-01-30 07:40:00,1195.699,1191.779,,,sl_too_tight,2017-01-30 14:40:00
1,2017-01-31 11:55:00,1203.008,1196.078,1199.5430000000001,1213.3879999999995,signal,2017-01-31 18:55:00
1,2017-02-01 08:55:00,1211.699,1206.828,,,sl_too_tight,2017-02-01 15:55:00
1,2017-02-02 08:45:00,1217.229,1209.599,1213.414,1226.2360000000003,signal,2017-02-02 15:45:00
