side,signal_time,entry_time,entry_price,sl,tp,lots,oz,risk_usd,commission_usd,spread_cost_usd,slippage_cost_usd,swap_usd,rollovers,exit_time,exit_price,exit_reason,ambiguous,pnl_usd,r_multiple
-1,2017-07-07 13:05:00,2017-07-07 13:15:00,1217.538,1224.9157214285713,1202.7825571428575,0.06,0.06,0.44266328571427493,0.0,0.0096,0.0012,0.0,3,2017-07-11 13:30:00,1212.219,news_close,False,0.3191399999999976,0.7209543016088131
-1,2018-05-04 13:15:00,2018-05-04 13:30:00,1310.301,1315.6035857142858,1299.6958285714281,0.09,0.09,0.47723271428573066,0.0,0.0144,0.008999999999991815,0.0,2,2018-05-07 00:10:00,1315.7035857142857,sl,False,-0.4862327142857225,-1.0188587239109583
-1,2018-09-05 07:20:00,2018-09-05 07:25:00,1192.538,1195.9797357142857,1185.6545285714287,0.14,0.14,0.48184299999998986,0.0,0.022400000000000003,0.01399999999998727,0.0,0,2018-09-05 12:50:00,1196.0797357142856,sl,False,-0.49584299999997716,-1.0290551071614356
1,2019-06-27 14:05:00,2019-06-27 14:25:00,1404.878,1398.3855785714286,1417.8628428571426,0.07,0.07,0.45446949999999336,0.0,0.011200000000000002,0.0,-0.03773000000000001,1,2019-06-28 01:00:00,1417.8628428571426,tp,False,0.8712089999999867,1.9169801273792837
1,2019-07-25 14:25:00,2019-07-25 14:30:00,1419.285,1415.092642857143,1427.6697142857145,0.11,0.11,0.46115928571429093,0.0,0.0176,0.010999999999989995,0.0,0,2019-07-25 16:45:00,1414.992642857143,sl,False,-0.47215928571428095,-1.0238529296508734
-1,2020-03-11 08:10:00,2020-03-11 08:25:00,1661.675,1666.3056857142858,1652.4136285714283,0.1,0.1,0.46306857142858465,0.0,0.016,0.009999999999990905,0.0,0,2020-03-11 11:10:00,1666.4056857142857,sl,False,-0.47306857142857556,-1.0215950738551323
1,2020-03-25 08:40:00,2020-03-25 08:45:00,1604.648,1594.1675142857143,1625.608971428571,0.04,0.04,0.41921942857142314,0.0,0.0064,0.0,0.0,0,2020-03-25 10:30:00,1625.608971428571,tp,False,0.8384388571428463,2.0
-1,2020-04-01 08:20:00,2020-04-01 08:55:00,1594.818,1600.2267000000002,1584.0005999999996,0.09,0.09,0.48678300000001623,0.0,0.0144,0.0018,0.0,0,2020-04-01 11:45:00,1592.958,news_close,False,0.167399999999991,0.34389039880190025
-1,2020-04-21 08:00:00,2020-04-21 08:05:00,1694.158,1698.0343857142857,1686.4052285714283,0.12,0.12,0.46516628571429464,0.0,0.0192,0.0,0.0,0,2020-04-21 09:20:00,1686.4052285714283,tp,False,0.9303325714285893,2.0
1,2020-06-22 08:50:00,2020-06-22 09:30:00,1746.655,1742.7394785714287,1754.4860428571426,0.13,0.13,0.5090177857142704,0.0,0.020800000000000003,0.0,0.0,0,2020-06-22 12:40:00,1754.4860428571426,tp,False,1.0180355714285407,2.0
1,2020-09-07 11:35:00,2020-09-07 12:10:00,1927.978,1924.1947714285714,1935.5444571428575,0.13,0.13,0.49181971428573207,0.0,0.020800000000000003,0.012999999999988177,-0.07007000000000001,1,2020-09-08 03:20:00,1924.0947714285714,sl,False,-0.5748897142857202,-1.1689033554106922
-1,2021-01-11 08:45:00,2021-01-11 09:05:00,1850.925,1855.1370571428572,1842.5008857142855,0.12,0.12,0.5054468571428696,0.0,0.0192,0.0,0.0,0,2021-01-11 12:50:00,1842.5008857142855,tp,False,1.0108937142857393,2.0
1,2021-01-19 14:10:00,2021-01-19 14:30:00,1838.475,1833.3999,1848.6252,0.1,0.1,0.507510000000002,0.0,0.016,0.009999999999990905,0.0,0,2021-01-19 15:15:00,1833.2999,sl,False,-0.5175099999999929,-1.01970404524047
