side,signal_time,entry_time,entry_price,sl,tp,lots,oz,risk_usd,commission_usd,spread_cost_usd,slippage_cost_usd,tp2,tp1_oz,tp1_filled,partial_pnl_usd,swap_usd,rollovers,exit_time,exit_price,exit_reason,ambiguous,pnl_usd,r_multiple
-1,2017-07-07 13:05:00,2017-07-07 13:15:00,1217.538,1228.6967214285714,1195.2205571428572,0.04,0.04,0.44634885714285705,0.0,0.0064,0.0008,,0.0,False,0.0,0.0,3,2017-07-11 13:30:00,1212.219,news_close,False,0.2127599999999984,0.47666751375125194
-1,2018-05-04 13:15:00,2018-05-04 13:30:00,1310.301,1315.6035857142858,1299.6958285714281,0.09,0.09,0.47723271428573066,0.0,0.0144,0.008999999999991815,,0.0,False,0.0,0.0,2,2018-05-07 00:10:00,1315.7035857142857,sl,False,-0.4862327142857225,-1.0188587239109583
-1,2018-09-05 07:20:00,2018-09-05 07:25:00,1192.538,1195.9797357142857,1185.6545285714287,0.14,0.14,0.48184299999998986,0.0,0.022400000000000003,0.01399999999998727,,0.0,False,0.0,0.0,0,2018-09-05 12:50:00,1196.0797357142856,sl,False,-0.49584299999997716,-1.0290551071614356
1,2019-06-27 14:05:00,2019-06-27 14:25:00,1404.878,1398.3855785714286,1417.8628428571426,0.07,0.07,0.45446949999999336,0.0,0.011200000000000002,0.0,,0.0,False,0.0,-0.03773000000000001,1,2019-06-28 01:00:00,1417.8628428571426,tp,False,0.8712089999999867,1.9169801273792837
1,2019-07-16 13:35:00,2019-07-16 13:55:00,1409.965,1406.9022857142857,1416.0904285714284,0.16,0.16,0.4900342857142823,0.0,0.0256,0.01599999999998545,,0.0,False,0.0,0.0,0,2019-07-16 15:55:00,1406.8022857142857,sl,False,-0.5060342857142678,-1.0326507766220145
1,2019-07-25 14:25:00,2019-07-25 14:30:00,1419.285,1415.092642857143,1427.6697142857145,0.11,0.11,0.46115928571429093,0.0,0.0176,0.010999999999989995,,0.0,False,0.0,0.0,0,2019-07-25 16:45:00,1414.992642857143,sl,False,-0.47215928571428095,-1.0238529296508734
-1,2019-09-26 14:00:00,2019-09-26 14:05:00,1509.145,1512.4053428571428,1502.6243142857143,0.15,0.15,0.4890514285714289,0.0,0.024,0.0,,0.0,False,0.0,0.0,0,2019-09-26 19:30:00,1502.6243142857143,tp,False,0.9781028571428578,2.0
-1,2020-03-11 08:10:00,2020-03-11 08:25:00,1661.675,1666.7386857142858,1651.5476285714283,0.09,0.09,0.4557317142857255,0.0,0.0144,0.008999999999991815,,0.0,False,0.0,0.0,0,2020-03-11 11:10:00,1666.8386857142857,sl,False,-0.4647317142857173,-1.0197484610306256
1,2020-03-25 08:40:00,2020-03-25 08:45:00,1604.648,1594.1675142857143,1625.608971428571,0.04,0.04,0.41921942857142314,0.0,0.0064,0.0,,0.0,False,0.0,0.0,0,2020-03-25 10:30:00,1625.608971428571,tp,False,0.8384388571428463,2.0
-1,2020-04-01 08:20:00,2020-04-01 08:55:00,1594.818,1600.2267000000002,1584.0005999999996,0.09,0.09,0.48678300000001623,0.0,0.0144,0.0018,,0.0,False,0.0,0.0,0,2020-04-01 11:45:00,1592.958,news_close,False,0.167399999999991,0.34389039880190025
-1,2020-04-21 08:00:00,2020-04-21 08:05:00,1694.158,1698.0343857142857,1686.4052285714283,0.13,0.13,0.5039301428571525,0.0,0.020800000000000003,0.0,,0.0,False,0.0,0.0,0,2020-04-21 09:20:00,1686.4052285714283,tp,False,1.007860285714305,2.0
1,2020-06-22 08:50:00,2020-06-22 09:30:00,1746.655,1742.4424785714286,1755.0800428571426,0.12,0.12,0.5055025714285603,0.0,0.0192,0.0,,0.0,False,0.0,0.0,0,2020-06-22 12:45:00,1755.0800428571426,tp,False,1.0110051428571205,2.0
1,2020-08-03 11:35:00,2020-08-03 12:40:00,1969.518,1965.6815642857143,1977.1908714285714,0.13,0.13,0.49873664285714087,0.0,0.020800000000000003,0.0026000000000000003,,0.0,False,0.0,0.0,0,2020-08-03 13:15:00,1967.338,news_close,False,-0.2834000000000083,-0.5682357694363075
