direction,sweep_time,sweep_source,sweep_extreme,break_time,block_time,block_top,block_bottom,entry,sl,tp,outcome,sweep_time_thai,break_time_thai,block_time_thai
1,2017-01-06 07:05:00,asian,1173.728,2017-01-06 08:05:00,2017-01-06 07:00:00,1174.828,1174.218,,,,sl_too_tight,2017-01-06 14:05:00,2017-01-06 15:05:00,2017-01-06 14:00:00
-1,2017-01-19 09:25:00,asian,1205.81,2017-01-19 10:40:00,2017-01-19 09:20:00,1205.81,1203.398,,,,sl_too_tight,2017-01-19 16:25:00,2017-01-19 17:40:00,2017-01-19 16:20:00
1,2017-01-23 14:35:00,prev_day,1209.258,2017-01-23 15:15:00,2017-01-23 14:35:00,1212.119,1209.258,1212.119,1209.097557142857,1218.1618857142855,signal,2017-01-23 21:35:00,2017-01-23 22:15:00,2017-01-23 21:35:00
-1,2017-02-10 11:00:00,asian,1227.149,2017-02-10 12:15:00,2017-02-10 11:05:00,1227.468,1226.378,,,,sl_too_tight,2017-02-10 18:00:00,2017-02-10 19:15:00,2017-02-10 18:05:00
-1,2017-02-13 08:00:00,asian,1232.219,2017-02-13 09:05:00,2017-02-13 08:10:00,1232.268,1231.528,,,,sl_too_tight,2017-02-13 15:00:00,2017-02-13 16:05:00,2017-02-13 15:10:00
1,2017-02-15 07:15:00,asian,1224.228,2017-02-15 08:30:00,2017-02-15 07:20:00,1224.858,1224.161,,,,sl_too_tight,2017-02-15 14:15:00,2017-02-15 15:30:00,2017-02-15 14:20:00
-1,2017-02-17 10:10:00,prev_day,1242.758,2017-02-17 10:45:00,2017-02-17 10:05:00,1242.249,1240.781,,,,price_inside_zone,2017-02-17 17:10:00,2017-02-17 17:45:00,2017-02-17 17:05:00
-1,2017-02-20 09:55:00,asian,1236.968,2017-02-20 10:30:00,2017-02-20 09:55:00,1236.968,1236.268,,,,sl_too_tight,2017-02-20 16:55:00,2017-02-20 17:30:00,2017-02-20 16:55:00
1,2017-03-02 13:30:00,prev_day,1235.628,2017-03-02 15:00:00,2017-03-02 14:25:00,1237.288,1235.591,,,,sl_too_tight,2017-03-02 20:30:00,2017-03-02 22:00:00,2017-03-02 21:25:00
1,2017-03-07 09:05:00,asian,1223.718,2017-03-07 10:50:00,2017-03-07 09:20:00,1223.759,1223.338,,,,sl_too_tight,2017-03-07 16:05:00,2017-03-07 17:50:00,2017-03-07 16:20:00
1,2017-03-13 12:25:00,asian,1203.398,2017-03-13 14:20:00,2017-03-13 13:30:00,1203.818,1202.528,,,,sl_too_tight,2017-03-13 19:25:00,2017-03-13 21:20:00,2017-03-13 20:30:00
-1,2017-03-24 13:55:00,asian,1247.579,2017-03-24 15:00:00,2017-03-24 14:10:00,1248.522,1246.748,,,,price_inside_zone,2017-03-24 20:55:00,2017-03-24 22:00:00,2017-03-24 21:10:00
-1,2017-03-28 11:35:00,asian,1255.828,2017-03-28 13:35:00,2017-03-28 13:05:00,1257.778,1256.898,,,,sl_too_tight,2017-03-28 18:35:00,2017-03-28 20:35:00,2017-03-28 20:05:00
1,2017-04-04 13:40:00,asian,1254.021,2017-04-04 14:00:00,2017-04-04 13:40:00,1256.358,1254.021,,,,sl_too_tight,2017-04-04 20:40:00,2017-04-04 21:00:00,2017-04-04 20:40:00
1,2017-04-17 12:00:00,asian,1285.959,2017-04-17 13:35:00,2017-04-17 12:50:00,1286.661,1285.649,,,,sl_too_tight,2017-04-17 19:00:00,2017-04-17 20:35:00,2017-04-17 19:50:00
-1,2017-04-20 07:05:00,asian,1282.128,2017-04-20 07:45:00,2017-04-20 07:00:00,1281.722,1280.498,,,,sl_too_tight,2017-04-20 14:05:00,2017-04-20 14:45:00,2017-04-20 14:00:00
1,2017-04-21 07:05:00,asian,1278.471,2017-04-21 07:30:00,2017-04-21 07:00:00,1279.618,1278.471,,,,sl_too_tight,2017-04-21 14:05:00,2017-04-21 14:30:00,2017-04-21 14:00:00
-1,2017-04-26 08:45:00,asian,1265.952,2017-04-26 09:35:00,2017-04-26 09:20:00,1266.431,1265.921,,,,sl_too_tight,2017-04-26 15:45:00,2017-04-26 16:35:00,2017-04-26 16:20:00
-1,2017-05-05 09:35:00,asian,1235.072,2017-05-05 10:50:00,2017-05-05 09:40:00,1235.561,1234.268,,,,sl_too_tight,2017-05-05 16:35:00,2017-05-05 17:50:00,2017-05-05 16:40:00
-1,2017-05-10 08:20:00,asian,1225.271,2017-05-10 09:15:00,2017-05-10 08:05:00,1225.271,1223.491,,,,sl_too_tight,2017-05-10 15:20:00,2017-05-10 16:15:00,2017-05-10 15:05:00
1,2017-05-18 07:15:00,asian,1253.829,2017-05-18 07:25:00,2017-05-18 07:00:00,1255.848,1254.419,,,,sl_too_tight,2017-05-18 14:15:00,2017-05-18 14:25:00,2017-05-18 14:00:00
1,2017-05-29 13:40:00,asian,1265.021,2017-05-29 14:25:00,2017-05-29 13:40:00,1267.092,1265.021,,,,price_inside_zone,2017-05-29 20:40:00,2017-05-29 21:25:00,2017-05-29 20:40:00
1,2017-06-01 10:10:00,asian,1265.202,2017-06-01 10:45:00,2017-06-01 10:15:00,1266.169,1265.178,,,,sl_too_tight,2017-06-01 17:10:00,2017-06-01 17:45:00,2017-06-01 17:15:00
-1,2017-06-07 14:40:00,asian,1294.232,2017-06-07 15:50:00,2017-06-07 14:40:00,1294.232,1293.272,,,,sl_too_tight,2017-06-07 21:40:00,2017-06-07 22:50:00,2017-06-07 21:40:00
-1,2017-06-12 08:55:00,asian,1270.192,2017-06-12 10:20:00,2017-06-12 08:55:00,1270.192,1269.612,,,,sl_too_tight,2017-06-12 15:55:00,2017-06-12 17:20:00,2017-06-12 15:55:00
-1,2017-06-20 07:40:00,asian,1247.628,2017-06-20 08:10:00,2017-06-20 07:30:00,1247.628,1246.362,,,,price_inside_zone,2017-06-20 14:40:00,2017-06-20 15:10:00,2017-06-20 14:30:00
-1,2017-06-21 09:00:00,asian,1247.012,2017-06-21 11:00:00,2017-06-21 09:55:00,1247.408,1246.888,,,,sl_too_tight,2017-06-21 16:00:00,2017-06-21 18:00:00,2017-06-21 16:55:00
-1,2017-06-23 07:50:00,asian,1254.462,2017-06-23 09:30:00,2017-06-23 08:10:00,1257.981,1254.341,,,,price_inside_zone,2017-06-23 14:50:00,2017-06-23 16:30:00,2017-06-23 15:10:00
1,2017-06-28 14:00:00,asian,1248.012,2017-06-28 15:00:00,2017-06-28 14:30:00,1249.541,1248.398,,,,sl_too_tight,2017-06-28 21:00:00,2017-06-28 22:00:00,2017-06-28 21:30:00
-1,2017-07-07 11:40:00,asian,1223.732,2017-07-07 12:20:00,2017-07-07 11:35:00,1223.342,1221.991,,,,sl_too_tight,2017-07-07 18:40:00,2017-07-07 19:20:00,2017-07-07 18:35:00
-1,2017-07-07 12:35:00,prev_day,1228.449,2017-07-07 13:05:00,2017-07-07 12:30:00,1224.668,1217.538,1217.538,1224.9157214285713,1202.7825571428575,signal,2017-07-07 19:35:00,2017-07-07 20:05:00,2017-07-07 19:30:00
-1,2017-07-10 11:30:00,asian,1215.581,2017-07-10 13:25:00,2017-07-10 11:30:00,1215.581,1210.988,1210.988,1215.6587142857143,1201.6465714285716,signal,2017-07-10 18:30:00,2017-07-10 20:25:00,2017-07-10 18:30:00
1,2017-07-12 10:35:00,asian,1216.738,2017-07-12 12:30:00,2017-07-12 12:20:00,1215.642,1214.809,,,,sl_too_tight,2017-07-12 17:35:00,2017-07-12 19:30:00,2017-07-12 19:20:00
-1,2017-07-14 08:50:00,asian,1219.458,2017-07-14 10:30:00,2017-07-14 09:35:00,1219.628,1219.198,,,,sl_too_tight,2017-07-14 15:50:00,2017-07-14 17:30:00,2017-07-14 16:35:00
1,2017-07-20 11:30:00,prev_day,1235.281,2017-07-20 12:15:00,2017-07-20 11:25:00,1236.528,1235.281,,,,sl_too_tight,2017-07-20 18:30:00,2017-07-20 19:15:00,2017-07-20 18:25:00
1,2017-08-01 10:30:00,prev_day,1264.728,2017-08-01 11:40:00,2017-08-01 10:20:00,1267.218,1264.728,,,,price_inside_zone,2017-08-01 17:30:00,2017-08-01 18:40:00,2017-08-01 17:20:00
-1,2017-08-01 13:55:00,asian,1272.092,2017-08-01 15:40:00,2017-08-01 14:20:00,1274.061,1272.642,,,,sl_too_tight,2017-08-01 20:55:00,2017-08-01 22:40:00,2017-08-01 21:20:00
