direction,break_time,level,zone,outcome,sl,tp1,tp2,break_time_thai
1,2017-01-04 08:00:00,1163.351,,no_room,,,,2017-01-04 15:00:00
1,2017-01-05 13:15:00,1173.681,,signal,1170.3237714285715,1180.3954571428571,1187.1099142857142,2017-01-05 20:15:00
1,2017-01-06 10:45:00,1178.638,,no_room,,,,2017-01-06 17:45:00
-1,2017-01-06 13:45:00,1175.428,,no_room,,,,2017-01-06 20:45:00
1,2017-01-09 11:15:00,1178.629,,no_room,,,,2017-01-09 18:15:00
1,2017-01-09 13:15:00,1180.878,,no_room,,,,2017-01-09 20:15:00
1,2017-01-10 14:30:00,1185.389,,no_room,,,,2017-01-10 21:30:00
1,2017-01-12 08:00:00,1200.949,,signal,1196.1966214285712,1210.4537571428577,1219.9585142857154,2017-01-12 15:00:00
1,2017-01-13 08:00:00,1196.658,,sl_too_tight,,,,2017-01-13 15:00:00
1,2017-01-13 13:00:00,1198.509,,sl_too_tight,,,,2017-01-13 20:00:00
1,2017-01-16 11:45:00,1203.569,,sl_too_tight,,,,2017-01-16 18:45:00
1,2017-01-17 08:00:00,1211.929,,sl_too_tight,,,,2017-01-17 15:00:00
1,2017-01-17 09:30:00,1214.898,,signal,1209.2981,1226.0977999999998,1237.2975999999996,2017-01-17 16:30:00
1,2017-01-18 10:00:00,1214.099,,no_room,,,,2017-01-18 17:00:00
1,2017-01-18 14:15:00,1213.998,,sl_too_tight,,,,2017-01-18 21:15:00
1,2017-01-18 15:30:00,1216.059,,no_room,,,,2017-01-18 22:30:00
-1,2017-01-19 07:15:00,1201.328,,sl_too_tight,,,,2017-01-19 14:15:00
-1,2017-01-19 13:30:00,1202.229,,no_room,,,,2017-01-19 20:30:00
1,2017-01-20 07:00:00,1208.369,,sl_too_tight,,,,2017-01-20 14:00:00
1,2017-01-23 12:30:00,1214.738,,no_room,,,,2017-01-23 19:30:00
1,2017-01-23 15:30:00,1215.469,,no_room,,,,2017-01-23 22:30:00
1,2017-01-24 11:45:00,1213.679,,sl_too_tight,,,,2017-01-24 18:45:00
1,2017-01-24 14:30:00,1214.042,,sl_too_tight,,,,2017-01-24 21:30:00
-1,2017-01-25 08:45:00,1202.571,,no_room,,,,2017-01-25 15:45:00
-1,2017-01-25 14:00:00,1200.932,,no_room,,,,2017-01-25 21:00:00
-1,2017-01-26 09:30:00,1195.628,,sl_too_tight,,,,2017-01-26 16:30:00
-1,2017-01-26 12:00:00,1191.678,,no_room,,,,2017-01-26 19:00:00
-1,2017-01-26 15:30:00,1186.758,1181.002,signal,1191.6312428571428,1181.2442428571428,1175.7304857142856,2017-01-26 22:30:00
-1,2017-01-27 12:45:00,1182.768,,no_room,,,,2017-01-27 19:45:00
-1,2017-01-30 09:15:00,1189.128,,no_room,,,,2017-01-30 16:15:00
