direction,break_time,level,zone,outcome,sl,tp1,tp2,break_time_thai
-1,2017-01-03 07:19:00,1155.809,,sl_too_tight,,,,2017-01-03 14:19:00
-1,2017-01-03 07:24:00,1155.268,,sl_too_tight,,,,2017-01-03 14:24:00
-1,2017-01-03 07:52:00,1152.959,,sl_too_tight,,,,2017-01-03 14:52:00
-1,2017-01-03 08:23:00,1153.039,,sl_too_tight,,,,2017-01-03 15:23:00
-1,2017-01-03 09:03:00,1151.442,,sl_too_tight,,,,2017-01-03 16:03:00
-1,2017-01-03 09:17:00,1150.771,,sl_too_tight,,,,2017-01-03 16:17:00
-1,2017-01-03 09:30:00,1150.119,,sl_too_tight,,,,2017-01-03 16:30:00
-1,2017-01-03 09:59:00,1148.181,,sl_too_tight,,,,2017-01-03 16:59:00
-1,2017-01-03 10:48:00,1148.028,,sl_too_tight,,,,2017-01-03 17:48:00
-1,2017-01-03 10:54:00,1147.791,,sl_too_tight,,,,2017-01-03 17:54:00
-1,2017-01-03 11:15:00,1147.189,,sl_too_tight,,,,2017-01-03 18:15:00
-1,2017-01-03 12:10:00,1148.598,,sl_too_tight,,,,2017-01-03 19:10:00
-1,2017-01-03 12:28:00,1147.989,,sl_too_tight,,,,2017-01-03 19:28:00
-1,2017-01-03 13:29:00,1149.648,,sl_too_tight,,,,2017-01-03 20:29:00
-1,2017-01-03 14:06:00,1150.028,,sl_too_tight,,,,2017-01-03 21:06:00
1,2017-01-03 15:19:00,1150.288,,sl_too_tight,,,,2017-01-03 22:19:00
1,2017-01-03 15:36:00,1151.539,,sl_too_tight,,,,2017-01-03 22:36:00
1,2017-01-03 15:49:00,1152.669,,sl_too_tight,,,,2017-01-03 22:49:00
1,2017-01-04 07:10:00,1162.518,,sl_too_tight,,,,2017-01-04 14:10:00
1,2017-01-04 07:23:00,1162.558,,sl_too_tight,,,,2017-01-04 14:23:00
1,2017-01-04 08:06:00,1161.779,,sl_too_tight,,,,2017-01-04 15:06:00
1,2017-01-04 08:29:00,1163.948,,no_room,,,,2017-01-04 15:29:00
1,2017-01-04 08:53:00,1163.038,,sl_too_tight,,,,2017-01-04 15:53:00
1,2017-01-04 09:00:00,1163.279,,sl_too_tight,,,,2017-01-04 16:00:00
1,2017-01-04 09:13:00,1163.868,,sl_too_tight,,,,2017-01-04 16:13:00
1,2017-01-04 09:20:00,1166.519,,signal,1162.5943499999998,1174.3683000000003,1182.2176000000006,2017-01-04 16:20:00
1,2017-01-04 10:28:00,1165.829,,sl_too_tight,,,,2017-01-04 17:28:00
1,2017-01-04 11:02:00,1165.589,,sl_too_tight,,,,2017-01-04 18:02:00
1,2017-01-04 11:15:00,1167.169,,sl_too_tight,,,,2017-01-04 18:15:00
1,2017-01-04 11:21:00,1167.269,,sl_too_tight,,,,2017-01-04 18:21:00
1,2017-01-04 12:09:00,1165.909,,sl_too_tight,,,,2017-01-04 19:09:00
-1,2017-01-04 12:55:00,1165.189,,sl_too_tight,,,,2017-01-04 19:55:00
-1,2017-01-04 13:19:00,1166.178,,sl_too_tight,,,,2017-01-04 20:19:00
-1,2017-01-04 13:26:00,1165.859,,sl_too_tight,,,,2017-01-04 20:26:00
-1,2017-01-04 13:45:00,1164.508,,sl_too_tight,,,,2017-01-04 20:45:00
-1,2017-01-04 14:16:00,1163.671,,sl_too_tight,,,,2017-01-04 21:16:00
-1,2017-01-04 14:41:00,1163.138,,sl_too_tight,,,,2017-01-04 21:41:00
-1,2017-01-04 15:19:00,1165.012,,sl_too_tight,,,,2017-01-04 22:19:00
