direction,gap_time,gap_edge,gap_far_edge,outcome,sl,tp1,tp2,gap_time_thai
-1,2017-01-03 07:00:00,1157.538,1157.911,against_bias,,,,2017-01-03 14:00:00
-1,2017-01-03 07:15:00,1156.352,1157.131,against_bias,,,,2017-01-03 14:15:00
-1,2017-01-03 07:30:00,1153.711,1155.809,against_bias,,,,2017-01-03 14:30:00
-1,2017-01-03 08:30:00,1151.928,1152.938,against_bias,,,,2017-01-03 15:30:00
-1,2017-01-03 09:30:00,1150.388,1150.771,against_bias,,,,2017-01-03 16:30:00
-1,2017-01-03 09:45:00,1148.579,1150.119,against_bias,,,,2017-01-03 16:45:00
1,2017-01-03 12:00:00,1147.989,1147.132,against_bias,,,,2017-01-03 19:00:00
1,2017-01-03 13:15:00,1149.299,1148.769,against_bias,,,,2017-01-03 20:15:00
1,2017-01-03 14:45:00,1152.711,1150.769,against_bias,,,,2017-01-03 21:45:00
-1,2017-01-03 15:15:00,1151.139,1152.711,against_bias,,,,2017-01-03 22:15:00
1,2017-01-03 15:45:00,1151.518,1151.139,against_bias,,,,2017-01-03 22:45:00
1,2017-01-04 08:15:00,1162.968,1162.558,sl_too_tight,,,,2017-01-04 15:15:00
1,2017-01-04 09:15:00,1165.731,1163.279,price_inside_zone,,,,2017-01-04 16:15:00
1,2017-01-04 11:15:00,1166.058,1166.029,sl_too_tight,,,,2017-01-04 18:15:00
-1,2017-01-04 11:45:00,1165.909,1166.058,against_bias,,,,2017-01-04 18:45:00
-1,2017-01-04 13:45:00,1164.708,1164.779,against_bias,,,,2017-01-04 20:45:00
-1,2017-01-05 08:30:00,1175.519,1177.308,against_bias,,,,2017-01-05 15:30:00
-1,2017-01-05 08:45:00,1174.059,1174.958,against_bias,,,,2017-01-05 15:45:00
-1,2017-01-05 09:30:00,1172.139,1173.239,against_bias,,,,2017-01-05 16:30:00
1,2017-01-05 10:00:00,1172.519,1172.139,sl_too_tight,,,,2017-01-05 17:00:00
-1,2017-01-05 10:45:00,1172.399,1172.688,against_bias,,,,2017-01-05 17:45:00
1,2017-01-05 12:30:00,1173.079,1172.951,sl_too_tight,,,,2017-01-05 19:30:00
1,2017-01-06 09:30:00,1177.449,1177.039,sl_too_tight,,,,2017-01-06 16:30:00
-1,2017-01-06 12:00:00,1177.388,1177.729,against_bias,,,,2017-01-06 19:00:00
1,2017-01-06 13:15:00,1176.998,1176.399,sl_too_tight,,,,2017-01-06 20:15:00
1,2017-01-06 14:45:00,1176.351,1175.489,against_bias,,,,2017-01-06 21:45:00
1,2017-01-09 08:15:00,1175.198,1174.148,against_bias,,,,2017-01-09 15:15:00
1,2017-01-09 08:30:00,1176.369,1175.899,against_bias,,,,2017-01-09 15:30:00
-1,2017-01-09 09:45:00,1176.858,1177.441,against_bias,,,,2017-01-09 16:45:00
-1,2017-01-09 10:00:00,1176.488,1176.688,against_bias,,,,2017-01-09 17:00:00
1,2017-01-09 11:00:00,1176.549,1176.278,sl_too_tight,,,,2017-01-09 18:00:00
1,2017-01-09 11:15:00,1177.548,1176.959,sl_too_tight,,,,2017-01-09 18:15:00
1,2017-01-09 11:30:00,1178.658,1178.338,sl_too_tight,,,,2017-01-09 18:30:00
1,2017-01-09 13:30:00,1180.449,1179.949,sl_too_tight,,,,2017-01-09 20:30:00
-1,2017-01-10 07:45:00,1184.928,1185.559,against_bias,,,,2017-01-10 14:45:00
-1,2017-01-10 10:15:00,1183.769,1183.988,against_bias,,,,2017-01-10 17:15:00
