direction,break_time,level,zone,outcome,sl,tp1,tp2,break_time_thai
1,2018-01-03 14:10:00,1316.472,,sl_too_tight,,,,2018-01-03 21:10:00
1,2018-01-04 14:30:00,1316.102,,no_room,,,,2018-01-04 21:30:00
1,2018-01-04 15:35:00,1317.081,,sl_too_tight,,,,2018-01-04 22:35:00
-1,2018-01-05 14:10:00,1316.678,,no_room,,,,2018-01-05 21:10:00
1,2018-01-08 14:00:00,1320.492,,no_room,,,,2018-01-08 21:00:00
-1,2018-01-09 10:20:00,1314.431,,sl_too_tight,,,,2018-01-09 17:20:00
-1,2018-01-09 14:35:00,1310.522,,sl_too_tight,,,,2018-01-09 21:35:00
1,2018-01-10 09:05:00,1314.872,,sl_too_tight,,,,2018-01-10 16:05:00
1,2018-01-10 10:10:00,1315.512,,sl_too_tight,,,,2018-01-10 17:10:00
1,2018-01-10 11:00:00,1322.698,,no_room,,,,2018-01-10 18:00:00
1,2018-01-10 13:25:00,1322.919,,sl_too_tight,,,,2018-01-10 20:25:00
1,2018-01-11 14:55:00,1321.769,,sl_too_tight,,,,2018-01-11 21:55:00
1,2018-01-12 09:40:00,1331.802,,sl_too_tight,,,,2018-01-12 16:40:00
1,2018-01-12 12:35:00,1331.672,,sl_too_tight,,,,2018-01-12 19:35:00
1,2018-01-15 07:55:00,1342.752,,sl_too_tight,,,,2018-01-15 14:55:00
1,2018-01-15 09:35:00,1341.802,,sl_too_tight,,,,2018-01-15 16:35:00
1,2018-01-15 13:10:00,1342.259,,sl_too_tight,,,,2018-01-15 20:10:00
-1,2018-01-16 08:40:00,1338.308,,sl_too_tight,,,,2018-01-16 15:40:00
-1,2018-01-16 09:15:00,1336.368,,no_room,,,,2018-01-16 16:15:00
-1,2018-01-16 10:35:00,1333.102,,sl_too_tight,,,,2018-01-16 17:35:00
1,2018-01-17 13:40:00,1336.148,,sl_too_tight,,,,2018-01-17 20:40:00
-1,2018-01-18 07:25:00,1325.711,,sl_too_tight,,,,2018-01-18 14:25:00
-1,2018-01-18 08:50:00,1328.031,,sl_too_tight,,,,2018-01-18 15:50:00
1,2018-01-18 13:50:00,1329.429,,sl_too_tight,,,,2018-01-18 20:50:00
1,2018-01-18 14:45:00,1331.248,,sl_too_tight,,,,2018-01-18 21:45:00
1,2018-01-19 07:55:00,1332.872,,sl_too_tight,,,,2018-01-19 14:55:00
1,2018-01-19 08:20:00,1335.362,,no_room,,,,2018-01-19 15:20:00
1,2018-01-19 10:15:00,1335.829,,sl_too_tight,,,,2018-01-19 17:15:00
1,2018-01-19 15:00:00,1334.579,,sl_too_tight,,,,2018-01-19 22:00:00
1,2018-01-22 15:40:00,1334.538,,sl_too_tight,,,,2018-01-22 22:40:00
1,2018-01-24 08:45:00,1347.162,,no_room,,,,2018-01-24 15:45:00
1,2018-01-24 09:20:00,1348.172,,no_room,,,,2018-01-24 16:20:00
1,2018-01-24 09:45:00,1348.648,,sl_too_tight,,,,2018-01-24 16:45:00
1,2018-01-24 10:25:00,1349.532,,sl_too_tight,,,,2018-01-24 17:25:00
1,2018-01-24 12:35:00,1350.878,,sl_too_tight,,,,2018-01-24 19:35:00
1,2018-01-24 14:30:00,1353.501,,sl_too_tight,,,,2018-01-24 21:30:00
1,2018-01-24 14:50:00,1354.778,,no_room,,,,2018-01-24 21:50:00
1,2018-01-25 07:45:00,1361.352,,sl_too_tight,,,,2018-01-25 14:45:00
1,2018-01-25 09:45:00,1359.779,,sl_too_tight,,,,2018-01-25 16:45:00
1,2018-01-25 13:00:00,1359.251,,sl_too_tight,,,,2018-01-25 20:00:00
1,2018-01-25 14:00:00,1360.539,,sl_too_tight,,,,2018-01-25 21:00:00
1,2018-01-26 11:30:00,1354.589,,sl_too_tight,,,,2018-01-26 18:30:00
-1,2018-01-26 14:05:00,1349.888,,no_room,,,,2018-01-26 21:05:00
-1,2018-01-29 08:40:00,1345.989,,sl_too_tight,,,,2018-01-29 15:40:00
-1,2018-01-29 10:55:00,1347.438,,sl_too_tight,,,,2018-01-29 17:55:00
-1,2018-01-29 12:10:00,1345.918,,sl_too_tight,,,,2018-01-29 19:10:00
-1,2018-01-29 14:40:00,1343.228,,sl_too_tight,,,,2018-01-29 21:40:00
-1,2018-01-29 15:40:00,1342.998,,sl_too_tight,,,,2018-01-29 22:40:00
1,2018-01-30 09:45:00,1339.892,,sl_too_tight,,,,2018-01-30 16:45:00
1,2018-01-30 10:20:00,1344.408,,no_room,,,,2018-01-30 17:20:00
1,2018-01-30 13:20:00,1344.269,,sl_too_tight,,,,2018-01-30 20:20:00
-1,2018-01-30 15:40:00,1342.278,,no_room,,,,2018-01-30 22:40:00
-1,2018-02-01 11:15:00,1339.239,,sl_too_tight,,,,2018-02-01 18:15:00
-1,2018-02-01 13:30:00,1338.948,,sl_too_tight,,,,2018-02-01 20:30:00
1,2018-02-01 14:40:00,1341.091,,sl_too_tight,,,,2018-02-01 21:40:00
-1,2018-02-02 13:30:00,1344.411,,sl_too_tight,,,,2018-02-02 20:30:00
-1,2018-02-02 14:50:00,1333.671,,no_room,,,,2018-02-02 21:50:00
1,2018-02-05 08:40:00,1335.028,,no_room,,,,2018-02-05 15:40:00
1,2018-02-05 10:05:00,1335.498,,sl_too_tight,,,,2018-02-05 17:05:00
1,2018-02-05 11:30:00,1338.058,,sl_too_tight,,,,2018-02-05 18:30:00
-1,2018-02-06 12:00:00,1342.092,,sl_too_tight,,,,2018-02-06 19:00:00
-1,2018-02-06 13:45:00,1334.139,,no_room,,,,2018-02-06 20:45:00
-1,2018-02-06 14:30:00,1333.338,,sl_too_tight,,,,2018-02-06 21:30:00
-1,2018-02-06 15:10:00,1330.138,,no_room,,,,2018-02-06 22:10:00
-1,2018-02-06 15:50:00,1327.961,,no_room,,,,2018-02-06 22:50:00
-1,2018-02-07 12:40:00,1323.661,,no_room,,,,2018-02-07 19:40:00
-1,2018-02-07 13:10:00,1323.381,,sl_too_tight,,,,2018-02-07 20:10:00
-1,2018-02-07 14:05:00,1322.419,,sl_too_tight,,,,2018-02-07 21:05:00
-1,2018-02-08 08:25:00,1311.588,,sl_too_tight,,,,2018-02-08 15:25:00
-1,2018-02-08 11:10:00,1310.501,,sl_too_tight,,,,2018-02-08 18:10:00
-1,2018-02-08 12:05:00,1310.191,,sl_too_tight,,,,2018-02-08 19:05:00
1,2018-02-08 14:20:00,1315.568,,sl_too_tight,,,,2018-02-08 21:20:00
-1,2018-02-09 10:35:00,1315.138,,sl_too_tight,,,,2018-02-09 17:35:00
-1,2018-02-09 11:05:00,1314.609,,sl_too_tight,,,,2018-02-09 18:05:00
1,2018-02-09 13:10:00,1316.979,,sl_too_tight,,,,2018-02-09 20:10:00
-1,2018-02-09 14:30:00,1313.521,,sl_too_tight,,,,2018-02-09 21:30:00
-1,2018-02-09 15:25:00,1312.188,,sl_too_tight,,,,2018-02-09 22:25:00
-1,2018-02-12 10:25:00,1320.809,,sl_too_tight,,,,2018-02-12 17:25:00
-1,2018-02-12 11:05:00,1320.499,,sl_too_tight,,,,2018-02-12 18:05:00
1,2018-02-13 07:30:00,1326.328,,sl_too_tight,,,,2018-02-13 14:30:00
1,2018-02-13 08:25:00,1328.709,,sl_too_tight,,,,2018-02-13 15:25:00
1,2018-02-13 10:20:00,1329.552,,sl_too_tight,,,,2018-02-13 17:20:00
1,2018-02-14 14:25:00,1331.912,,no_room,,,,2018-02-14 21:25:00
1,2018-02-15 07:55:00,1354.322,,sl_too_tight,,,,2018-02-15 14:55:00
1,2018-02-15 08:15:00,1355.078,,sl_too_tight,,,,2018-02-15 15:15:00
1,2018-02-15 08:55:00,1356.382,,sl_too_tight,,,,2018-02-15 15:55:00
-1,2018-02-15 12:10:00,1350.619,,sl_too_tight,,,,2018-02-15 19:10:00
-1,2018-02-15 15:00:00,1352.268,,sl_too_tight,,,,2018-02-15 22:00:00
1,2018-02-16 07:35:00,1358.239,,sl_too_tight,,,,2018-02-16 14:35:00
1,2018-02-16 09:00:00,1360.322,,sl_too_tight,,,,2018-02-16 16:00:00
-1,2018-02-16 14:20:00,1353.258,,no_room,,,,2018-02-16 21:20:00
-1,2018-02-20 10:30:00,1337.431,,sl_too_tight,,,,2018-02-20 17:30:00
-1,2018-02-20 13:50:00,1338.279,,sl_too_tight,,,,2018-02-20 20:50:00
-1,2018-02-20 15:30:00,1338.928,,no_room,,,,2018-02-20 22:30:00
1,2018-02-21 08:35:00,1328.309,,no_room,,,,2018-02-21 15:35:00
1,2018-02-21 09:20:00,1329.258,,sl_too_tight,,,,2018-02-21 16:20:00
1,2018-02-21 09:50:00,1329.538,,sl_too_tight,,,,2018-02-21 16:50:00
1,2018-02-22 15:00:00,1328.402,,no_room,,,,2018-02-22 22:00:00
1,2018-02-26 09:35:00,1338.958,,sl_too_tight,,,,2018-02-26 16:35:00
-1,2018-02-26 14:00:00,1335.801,,sl_too_tight,,,,2018-02-26 21:00:00
-1,2018-02-27 14:45:00,1327.181,,sl_too_tight,,,,2018-02-27 21:45:00
-1,2018-02-27 15:30:00,1324.061,,no_room,,,,2018-02-27 22:30:00
1,2018-02-28 12:10:00,1320.342,,sl_too_tight,,,,2018-02-28 19:10:00
-1,2018-02-28 14:55:00,1318.408,,no_room,,,,2018-02-28 21:55:00
-1,2018-03-01 15:20:00,1304.658,,no_room,,,,2018-03-01 22:20:00
1,2018-03-02 10:40:00,1317.679,,sl_too_tight,,,,2018-03-02 17:40:00
1,2018-03-02 13:55:00,1323.801,,no_room,,,,2018-03-02 20:55:00
1,2018-03-06 12:50:00,1328.118,,no_room,,,,2018-03-06 19:50:00
1,2018-03-06 13:35:00,1330.371,,no_room,,,,2018-03-06 20:35:00
1,2018-03-06 15:00:00,1332.759,,no_room,,,,2018-03-06 22:00:00
-1,2018-03-07 08:00:00,1332.259,,sl_too_tight,,,,2018-03-07 15:00:00
-1,2018-03-07 14:40:00,1330.219,,sl_too_tight,,,,2018-03-07 21:40:00
-1,2018-03-07 15:30:00,1328.559,,no_room,,,,2018-03-07 22:30:00
-1,2018-03-08 14:35:00,1323.638,,sl_too_tight,,,,2018-03-08 21:35:00
-1,2018-03-08 15:00:00,1321.768,,no_room,,,,2018-03-08 22:00:00
-1,2018-03-08 15:55:00,1319.588,,no_room,,,,2018-03-08 22:55:00
-1,2018-03-12 10:35:00,1316.818,,sl_too_tight,,,,2018-03-12 17:35:00
-1,2018-03-12 14:00:00,1317.199,,sl_too_tight,,,,2018-03-12 21:00:00
1,2018-03-13 15:20:00,1324.221,,no_room,,,,2018-03-13 22:20:00
-1,2018-03-15 13:40:00,1317.808,,no_room,,,,2018-03-15 20:40:00
-1,2018-03-15 15:25:00,1317.758,,sl_too_tight,,,,2018-03-15 22:25:00
-1,2018-03-16 14:55:00,1310.398,,sl_too_tight,,,,2018-03-16 21:55:00
1,2018-03-19 12:10:00,1312.508,,no_room,,,,2018-03-19 19:10:00
1,2018-03-19 13:25:00,1312.638,,sl_too_tight,,,,2018-03-19 20:25:00
1,2018-03-19 15:35:00,1314.249,,sl_too_tight,,,,2018-03-19 22:35:00
