side,signal_time,entry_time,entry_price,sl,tp,lots,oz,risk_usd,commission_usd,spread_cost_usd,slippage_cost_usd,tp2,tp1_oz,tp1_filled,partial_pnl_usd,swap_usd,rollovers,exit_time,exit_price,exit_reason,ambiguous,pnl_usd,r_multiple
-1,2019-06-21 12:30:00,2019-06-21 12:35:00,1394.298,1398.0291428571427,1386.8357142857146,0.13,0.13,0.4850485714285492,0.0,0.020800000000000003,0.012999999999988177,1379.3734285714293,0.06,False,0.0,0.0,0,2019-06-21 12:55:00,1398.1291428571426,sl,False,-0.49804857142853737,-1.0268014396201621
-1,2019-07-19 12:40:00,2019-07-19 12:45:00,1435.055,1438.8037785714284,1428.0407785714285,0.13,0.13,0.4873412142856887,0.0,0.020800000000000003,0.012999999999988177,1421.026557142857,0.06,False,0.0,0.0,0,2019-07-19 13:35:00,1438.9037785714283,sl,False,-0.5003412142856769,-1.0266753552109125
1,2019-08-05 13:05:00,2019-08-05 13:10:00,1463.565,1457.5622714285714,1475.5704571428573,0.08,0.08,0.4802182857142907,0.0,0.0128,0.0016,1487.5759142857146,0.04,False,0.0,0.0,0,2019-08-05 13:15:00,1462.775,news_close,False,-0.06319999999999709,-0.13160681689992618
1,2019-08-07 12:00:00,2019-08-07 12:20:00,1495.408,1488.2074785714285,1509.8090428571427,0.06,0.06,0.4320312857142835,0.0,0.0096,0.0012,1524.2100857142855,0.03,False,0.0,0.0,0,2019-08-07 14:00:00,1507.9080000000001,news_close,False,0.7500000000000137,1.7359853899469986
1,2019-08-13 07:45:00,2019-08-13 08:15:00,1524.618,1521.3003214285714,1531.253357142857,0.14,0.14,0.46447500000000225,0.0,0.022400000000000003,0.0014000000000000002,1537.8887142857143,0.07,True,0.46447500000000225,0.0,0,2019-08-13 12:00:00,1525.685,news_close,False,0.5391650000000028,1.1608052101835409
1,2020-01-07 07:30:00,2020-01-07 07:40:00,1569.218,1564.25145,1577.59145,0.1,0.1,0.4966550000000098,0.0,0.016,0.009999999999990905,1585.9648999999997,0.05,False,0.0,0.0,0,2020-01-07 09:30:00,1564.15145,sl,False,-0.5066550000000006,-1.0201347011506794
-1,2020-01-08 10:15:00,2020-01-08 10:25:00,1582.735,1585.7906071428572,1576.6237857142853,0.16,0.16,0.4888971428571676,0.0,0.0256,0.0016,1570.5125714285707,0.08,True,0.4888971428571676,0.0,0,2020-01-08 12:45:00,1579.865,news_close,False,0.7184971428571589,1.469628434844565
1,2020-02-19 15:15:00,2020-02-19 16:00:00,1605.598,1602.2245714285714,1609.3145714285713,0.14,0.14,0.4722800000000007,0.0,0.022400000000000003,0.0,1613.0311428571426,0.07,True,0.26015999999999395,-0.11319000000000001,1,2020-02-20 11:40:00,1613.0311428571426,tp2,False,0.6672899999999818,1.4129118319640486
1,2020-02-20 12:25:00,2020-02-20 12:30:00,1617.745,1609.5088142857144,1634.217371428571,0.06,0.06,0.49417114285713065,0.0,0.0096,0.0012,1650.689742857142,0.03,False,0.0,0.0,0,2020-02-20 13:00:00,1616.725,news_close,False,-0.06119999999999891,-0.12384373487727587
1,2020-02-20 14:45:00,2020-02-20 14:50:00,1616.725,1613.4798071428572,1623.2153857142853,0.15,0.15,0.4867789285714025,0.0,0.024,0.003,1629.7057714285706,0.07,False,0.0,0.0,0,2020-02-20 15:30:00,1620.595,news_close,False,0.5805000000000177,1.192533131423062
