side,signal_time,entry_time,entry_price,sl,tp,lots,oz,risk_usd,commission_usd,spread_cost_usd,slippage_cost_usd,tp2,tp1_oz,tp1_filled,partial_pnl_usd,swap_usd,rollovers,exit_time,exit_price,exit_reason,ambiguous,pnl_usd,r_multiple
1,2017-01-04 09:20:00,2017-01-04 09:25:00,1166.519,1162.5943499999998,1174.3683000000003,0.12,0.12,0.4709580000000187,0.0,0.0192,0.011999999999989085,1182.2176000000006,0.06,False,0.0,0.0,0,2017-01-04 14:41:00,1162.49435,sl,False,-0.48295800000000777,-1.0254799791063929
1,2017-01-17 13:04:00,2017-01-17 13:05:00,1213.604,1210.545957142857,1218.7259571428572,0.16,0.16,0.48928685714286985,0.0,0.0256,0.01599999999998545,1223.8479142857143,0.08,False,0.0,-0.08624000000000001,1,2017-01-18 07:36:00,1210.4459571428572,sl,False,-0.5915268571428552,-1.2089571761583855
1,2017-02-02 10:30:00,2017-02-02 10:44:00,1222.628,1216.9820714285715,1233.9198571428567,0.08,0.08,0.4516742857142708,0.0,0.0128,0.0016,1245.2117142857135,0.04,False,0.0,0.0,0,2017-02-02 13:00:00,1220.068,news_close,False,-0.20479999999999565,-0.45342408562428577
-1,2017-09-26 10:33:00,2017-09-26 10:41:00,1302.258,1305.3963857142858,1298.3423857142857,0.15,0.15,0.47075785714285984,0.0,0.024,0.003,1294.4267714285713,0.07,False,0.0,0.0,0,2017-09-26 13:30:00,1300.711,news_close,False,0.2320500000000038,0.4929285756553695
-1,2019-06-21 10:58:00,2019-06-21 10:59:00,1395.225,1398.8840285714286,1387.9069428571424,0.13,0.13,0.4756737142857355,0.0,0.020800000000000003,0.012999999999988177,1380.588885714285,0.06,False,0.0,0.0,0,2019-06-21 13:01:00,1398.9840285714286,sl,False,-0.4886737142857237,-1.0273296581449929
1,2019-08-07 11:30:00,2019-08-07 11:36:00,1493.315,1493.315,1500.9205142857145,0.12,0.12,0.4563308571428661,0.0,0.0192,0.0,1508.526028571429,0.06,True,0.4563308571428661,0.0,0,2019-08-07 13:53:00,1508.526028571429,tp2,False,1.3689925714285982,3.0
1,2019-08-07 15:03:00,2019-08-07 15:11:00,1501.903,1497.8082642857141,1510.0924714285718,0.12,0.12,0.4913682857143067,0.0,0.0192,0.0024,1518.2819428571436,0.06,False,0.0,0.0,0,2019-08-07 16:30:00,1507.935,news_close,False,0.723839999999991,1.4731109455868485
1,2019-08-13 09:57:00,2019-08-13 09:58:00,1532.148,1528.3193642857143,1539.8052714285711,0.13,0.13,0.49772264285712936,0.0,0.020800000000000003,0.012999999999988177,1547.4625428571424,0.06,False,0.0,0.0,0,2019-08-13 10:51:00,1528.2193642857144,sl,False,-0.5107226428571175,-1.0261189644203506
-1,2019-08-26 07:40:00,2019-08-26 07:42:00,1530.725,1530.725,1525.3079785714287,0.11,0.11,0.4894976428571681,0.0,0.017599999999999998,0.005999999999994543,1519.8909571428576,0.05,True,0.2708510714285581,0.0,0,2019-08-26 09:54:00,1530.8249999999998,sl,False,0.2648510714285635,0.541067102759972
1,2019-08-26 14:16:00,2019-08-26 14:17:00,1536.385,1531.1238142857144,1544.0338142857142,0.09,0.09,0.4735067142857042,0.0,0.0144,0.008999999999991815,1551.6826285714285,0.04,False,0.0,0.0,0,2019-08-26 15:24:00,1531.0238142857145,sl,False,-0.482506714285696,-1.0190071222402168
1,2019-08-27 15:18:00,2019-08-27 15:19:00,1539.898,1539.898,1544.0401857142856,0.13,0.13,0.4716158571428582,0.0,0.020800000000000003,0.006999999999993635,1548.1823714285713,0.06,True,0.24853114285714126,0.0,0,2019-08-27 18:50:00,1539.798,sl,False,0.24153114285714763,0.5121353304793246
1,2020-01-07 07:38:00,2020-01-07 07:39:00,1569.815,1564.4142499999998,1577.6542499999998,0.09,0.09,0.4860675000000219,0.0,0.0144,0.008999999999991815,1585.4934999999996,0.04,False,0.0,0.0,0,2020-01-07 09:30:00,1564.31425,sl,False,-0.49506750000001376,-1.0185159468592149
-1,2020-01-08 09:06:00,2020-01-08 09:07:00,1579.925,1585.936892857143,1571.4798928571429,0.08,0.08,0.48095142857144313,0.0,0.0128,0.0016,1563.0347857142858,0.04,False,0.0,0.0,0,2020-01-08 12:45:00,1579.865,news_close,False,0.004799999999995634,0.00998021778260009
1,2020-02-21 13:08:00,2020-02-21 13:10:00,1639.058,1634.7487714285714,1647.676457142857,0.11,0.11,0.4740151428571403,0.0,0.0176,0.0022,1656.2949142857142,0.05,False,0.0,0.0,0,2020-02-21 14:15:00,1639.328,news_close,False,0.029699999999998,0.06265622617239688
1,2020-02-24 09:01:00,2020-02-24 09:02:00,1682.975,1679.5552071428572,1689.8145857142854,0.14,0.14,0.4787709999999834,0.0,0.022400000000000003,0.01399999999998727,1696.6541714285709,0.07,False,0.0,0.0,0,2020-02-24 10:19:00,1679.4552071428573,sl,False,-0.49277099999997065,-1.0292415371858106
1,2020-02-24 10:23:00,2020-02-24 10:24:00,1682.265,1679.058857142857,1688.6772857142862,0.15,0.15,0.4809214285714574,0.0,0.024,0.014999999999986358,1695.0895714285723,0.07,False,0.0,0.0,0,2020-02-24 12:12:00,1678.9588571428571,sl,False,-0.4959214285714438,-1.0311901260971938
-1,2020-02-24 13:45:00,2020-02-24 13:46:00,1674.898,1679.6471714285715,1665.3996571428568,0.1,0.1,0.4749171428571572,0.0,0.016,0.009999999999990905,1655.9013142857136,0.05,False,0.0,0.0,0,2020-02-24 14:05:00,1679.7471714285714,sl,False,-0.4849171428571481,-1.0210563045583694
1,2020-02-25 13:05:00,2020-02-25 13:06:00,1650.468,1646.155192857143,1655.3151928571428,0.11,0.11,0.474408785714279,0.0,0.0176,0.0022,1660.1623857142856,0.05,False,0.0,0.0,0,2020-02-25 14:30:00,1648.298,news_close,False,-0.23870000000000802,-0.5031525705001788
-1,2020-02-28 10:29:00,2020-02-28 10:30:00,1624.755,1628.069407142857,1621.249407142857,0.14,0.14,0.46401699999996715,0.0,0.022400000000000003,0.01399999999998727,1617.743814285714,0.07,False,0.0,0.0,0,2020-02-28 10:39:00,1628.169407142857,sl,False,-0.4780169999999544,-1.0301713083787625
-1,2020-03-09 08:20:00,2020-03-09 08:21:00,1677.718,1677.718,1672.4505214285714,0.13,0.13,0.4696277857142559,0.0,0.0208,0.006999999999993635,1667.1830428571427,0.06,True,0.31604871428572096,0.0,0,2020-03-09 08:51:00,1677.818,sl,False,0.30904871428572733,0.6580716126404144
-1,2020-03-09 11:46:00,2020-03-09 12:03:00,1677.668,1677.668,1672.383857142857,0.15,0.15,0.45387857142857224,0.0,0.024,0.007999999999992723,1667.0997142857143,0.07,True,0.36988999999999583,0.0,0,2020-03-09 12:44:00,1677.7679999999998,sl,False,0.3618900000000031,0.7973277937774474
1,2020-03-09 15:19:00,2020-03-09 15:27:00,1669.718,1665.7734857142857,1674.3264857142858,0.12,0.12,0.47334171428572513,0.0,0.0192,0.011999999999989085,1678.9349714285715,0.06,False,0.0,0.0,0,2020-03-09 15:56:00,1665.6734857142858,sl,False,-0.48534171428571427,-1.0253516637934545
1,2020-04-13 12:01:00,2020-04-13 12:02:00,1693.305,1690.2392428571427,1699.4365142857148,0.15,0.15,0.4598635714286047,0.0,0.024,0.014999999999986358,1705.5680285714295,0.07,False,0.0,0.0,0,2020-04-13 12:23:00,1690.1392428571428,sl,False,-0.47486357142859104,-1.0326183697338487
1,2020-04-13 14:27:00,2020-04-13 14:28:00,1696.198,1696.198,1702.7850714285714,0.1,0.1,0.4542928571428775,0.0,0.016,0.0,1709.3721428571428,0.05,True,0.32935357142856675,0.0,0,2020-04-13 15:25:00,1709.3721428571428,tp2,False,0.9880607142857003,2.1749422178895275
1,2020-04-13 15:45:00,2020-04-13 15:46:00,1709.606,1709.606,1717.4798714285714,0.12,0.12,0.47243228571428514,0.0,0.0192,0.013679999999990287,1725.3537428571428,0.06,True,0.47243228571428514,0.0,0,2020-04-13 22:00:00,1709.3780000000002,sl_gap,False,0.4587522857142948,0.9710434692681786
1,2020-04-14 12:28:00,2020-04-14 12:29:00,1729.358,1729.358,1742.405514285714,0.07,0.07,0.4566629999999896,0.0,0.011200000000000002,0.003999999999996362,1755.453028571428,0.03,True,0.3914254285714196,0.0,0,2020-04-14 15:11:00,1729.258,sl,False,0.38742542857142326,0.8483836627259753
1,2020-04-14 15:27:00,2020-04-14 15:43:00,1732.825,1724.58215,1749.3107000000002,0.05,0.05,0.4121425000000045,0.0,0.008,0.0049999999999954525,1765.7964000000004,0.02,False,0.0,0.0,0,2020-04-14 19:08:00,1724.48215,sl,False,-0.41714249999999997,-1.0121317262839804
-1,2020-04-15 07:52:00,2020-04-15 07:53:00,1707.958,1713.868542857143,1696.1369142857143,0.08,0.08,0.472843428571432,0.0,0.0128,0.007999999999992725,1684.3158285714285,0.04,False,0.0,0.0,0,2020-04-15 08:10:00,1713.968542857143,sl,False,-0.48084342857142476,-1.0169189197027917
-1,2020-04-17 12:56:00,2020-04-17 13:05:00,1695.178,1699.8514,1690.3683999999998,0.1,0.1,0.46733999999999015,0.0,0.016,0.009999999999990905,1685.5587999999996,0.05,False,0.0,0.0,0,2020-04-17 13:08:00,1699.9514,sl,False,-0.47733999999998106,-1.0213976976077184
-1,2020-04-17 13:31:00,2020-04-17 13:33:00,1697.218,1701.3921928571428,1690.3691928571427,0.11,0.11,0.4591612142857048,0.0,0.0176,0.010999999999989995,1683.5203857142853,0.05,False,0.0,0.0,0,2020-04-17 13:57:00,1701.4921928571428,sl,False,-0.4701612142856948,-1.0239567273056853
1,2020-04-22 13:42:00,2020-04-22 13:43:00,1709.558,1706.3440285714287,1715.9859428571426,0.14,0.14,0.4499559999999838,0.0,0.022400000000000003,0.01399999999998727,1722.4138857142852,0.07,False,0.0,0.0,0,2020-04-22 13:47:00,1706.2440285714288,sl,False,-0.46395599999997106,-1.0311141533838593
-1,2020-04-28 14:58:00,2020-04-28 15:00:00,1699.828,1703.6497142857143,1695.7667142857142,0.12,0.12,0.45860571428571345,0.0,0.0192,0.011999999999989085,1691.7054285714285,0.06,False,0.0,0.0,0,2020-04-28 15:27:00,1703.7497142857142,sl,False,-0.4706057142857025,-1.02616626794256
