time_server,strategy,side,entry,sl,tp1,tp2,lots_tp1,lots_tp2,outcome
2025.06.02 09:10:00,pullback,-1,3350.008,0.000,0.000,0.000,0.00,0.00,against_bias
2025.06.02 10:45:00,pullback,-1,3345.531,0.000,0.000,0.000,0.00,0.00,against_bias
2025.06.02 11:25:00,pullback,1,3351.442,3345.827,0.000,0.000,0.00,0.00,no_room
2025.06.02 12:25:00,pullback,1,3360.152,3352.753,0.000,0.000,0.00,0.00,no_room
2025.06.02 13:45:00,pullback,1,3363.587,3352.708,0.000,0.000,0.00,0.00,no_room
2025.06.03 08:05:00,pullback,1,3360.388,0.000,0.000,0.000,0.00,0.00,against_bias
2025.06.03 11:35:00,pullback,1,3358.705,0.000,0.000,0.000,0.00,0.00,against_bias
2025.06.03 12:15:00,pullback,-1,3353.305,3360.764,0.000,0.000,0.00,0.00,no_room
2025.06.03 12:45:00,pullback,1,3360.518,0.000,0.000,0.000,0.00,0.00,against_bias
2025.06.03 13:35:00,pullback,-1,3357.073,3363.465,0.000,0.000,0.00,0.00,no_room
2025.06.03 15:40:00,pullback,1,3350.170,0.000,0.000,0.000,0.00,0.00,against_bias
2025.06.04 07:35:00,pullback,1,3362.948,3354.253,0.000,0.000,0.00,0.00,no_room
2025.06.04 07:55:00,pullback,-1,3358.498,0.000,0.000,0.000,0.00,0.00,against_bias
2025.06.04 09:50:00,pullback,-1,3360.802,0.000,0.000,0.000,0.00,0.00,against_bias
2025.06.04 10:25:00,pullback,-1,3359.315,0.000,0.000,0.000,0.00,0.00,against_bias
2025.06.04 11:30:00,pullback,-1,3347.341,3364.854,0.000,0.000,0.00,0.00,no_room
2025.06.04 12:20:00,pullback,1,3350.606,0.000,0.000,0.000,0.00,0.00,against_bias
2025.06.04 14:10:00,pullback,1,3362.827,0.000,0.000,0.000,0.00,0.00,against_bias
2025.06.04 15:40:00,pullback,-1,3370.358,0.000,0.000,0.000,0.00,0.00,against_bias
2025.06.05 07:10:00,pullback,1,3370.086,0.000,0.000,0.000,0.00,0.00,against_bias
2025.06.05 08:40:00,pullback,1,3373.431,0.000,0.000,0.000,0.00,0.00,against_bias
2025.06.05 10:05:00,pullback,1,3390.018,3373.653,0.000,0.000,0.00,0.00,no_room
2025.06.05 10:30:00,pullback,1,3394.146,3373.629,0.000,0.000,0.00,0.00,no_room
2025.06.05 12:50:00,pullback,-1,3389.531,0.000,0.000,0.000,0.00,0.00,against_bias
2025.06.05 14:05:00,pullback,-1,3377.519,0.000,0.000,0.000,0.00,0.00,against_bias
2025.06.05 14:50:00,pullback,-1,3367.553,0.000,0.000,0.000,0.00,0.00,against_bias
2025.06.05 15:30:00,pullback,-1,3363.859,0.000,0.000,0.000,0.00,0.00,against_bias
2025.06.06 07:50:00,pullback,-1,3356.668,3362.682,0.000,0.000,0.00,0.00,no_room
2025.06.06 08:30:00,pullback,1,3362.270,0.000,0.000,0.000,0.00,0.00,against_bias
2025.06.06 09:25:00,pullback,-1,3358.375,3368.059,0.000,0.000,0.00,0.00,no_room
2025.06.06 11:00:00,pullback,1,3360.307,0.000,0.000,0.000,0.00,0.00,against_bias
2025.06.06 12:40:00,pullback,-1,3355.903,3364.770,0.000,0.000,0.00,0.00,no_room
2025.06.06 14:00:00,pullback,-1,3346.611,3356.008,0.000,0.000,0.00,0.00,no_room
2025.06.06 15:40:00,pullback,1,3334.272,0.000,0.000,0.000,0.00,0.00,against_bias
2025.06.09 09:00:00,pullback,-1,3321.731,0.000,0.000,0.000,0.00,0.00,against_bias
2025.06.09 09:25:00,pullback,-1,3319.489,0.000,0.000,0.000,0.00,0.00,against_bias
2025.06.09 10:25:00,pullback,-1,3316.830,0.000,0.000,0.000,0.00,0.00,against_bias
2025.06.09 12:35:00,pullback,1,3321.310,3313.280,0.000,0.000,0.00,0.00,no_room
2025.06.09 13:25:00,pullback,-1,3312.953,0.000,0.000,0.000,0.00,0.00,against_bias
2025.06.09 14:10:00,pullback,1,3322.432,3310.311,0.000,0.000,0.00,0.00,no_room
2025.06.09 15:25:00,pullback,1,3326.839,3315.830,0.000,0.000,0.00,0.00,no_room
2025.06.10 07:25:00,pullback,-1,3325.349,0.000,0.000,0.000,0.00,0.00,against_bias
2025.06.10 07:35:00,pullback,1,3329.571,3325.019,0.000,0.000,0.00,0.00,no_room
2025.06.10 08:20:00,pullback,1,3332.201,3323.692,0.000,0.000,0.00,0.00,no_room
2025.06.10 10:25:00,pullback,1,3331.863,3326.952,0.000,0.000,0.00,0.00,no_room
2025.06.10 11:10:00,pullback,1,3335.397,3332.610,0.000,0.000,0.00,0.00,sl_too_tight
2025.06.10 12:05:00,pullback,-1,3332.822,0.000,0.000,0.000,0.00,0.00,against_bias
2025.06.10 13:20:00,pullback,1,3340.279,3335.219,0.000,0.000,0.00,0.00,no_room
2025.06.10 14:10:00,pullback,-1,3335.525,0.000,0.000,0.000,0.00,0.00,against_bias
2025.06.11 07:25:00,pullback,1,3339.168,3332.233,0.000,0.000,0.00,0.00,no_room
2025.06.11 09:05:00,pullback,-1,3342.535,0.000,0.000,0.000,0.00,0.00,against_bias
2025.06.11 09:55:00,pullback,-1,3333.981,0.000,0.000,0.000,0.00,0.00,against_bias
2025.06.11 10:45:00,pullback,-1,3331.238,3337.065,0.000,0.000,0.00,0.00,no_room
2025.06.11 11:00:00,pullback,-1,3330.492,3337.059,0.000,0.000,0.00,0.00,no_room
2025.06.11 12:20:00,pullback,1,3336.798,0.000,0.000,0.000,0.00,0.00,against_bias
2025.06.11 14:00:00,pullback,-1,3331.731,0.000,0.000,0.000,0.00,0.00,against_bias
2025.06.11 14:45:00,pullback,1,3335.590,3327.451,0.000,0.000,0.00,0.00,no_room
2025.06.11 15:20:00,pullback,1,3341.280,3327.548,0.000,0.000,0.00,0.00,no_room
2025.06.11 15:45:00,pullback,-1,3336.550,0.000,0.000,0.000,0.00,0.00,against_bias
2025.06.12 07:35:00,pullback,-1,3365.254,0.000,0.000,0.000,0.00,0.00,against_bias
2025.06.12 09:15:00,pullback,1,3361.157,0.000,0.000,0.000,0.00,0.00,against_bias
2025.06.12 09:50:00,pullback,1,3363.853,0.000,0.000,0.000,0.00,0.00,against_bias
2025.06.12 10:20:00,pullback,1,3367.962,0.000,0.000,0.000,0.00,0.00,against_bias
2025.06.12 11:05:00,pullback,1,3385.913,3362.119,0.000,0.000,0.00,0.00,no_room
2025.06.12 11:30:00,pullback,-1,3381.300,0.000,0.000,0.000,0.00,0.00,against_bias
2025.06.12 12:40:00,pullback,1,3384.553,3372.718,0.000,0.000,0.00,0.00,no_room
2025.06.12 13:05:00,pullback,1,3390.391,3372.742,0.000,0.000,0.00,0.00,no_room
2025.06.12 13:45:00,pullback,1,3393.823,3378.841,0.000,0.000,0.00,0.00,no_room
2025.06.12 15:00:00,pullback,-1,3384.453,0.000,0.000,0.000,0.00,0.00,against_bias
2025.06.13 08:10:00,pullback,1,3419.000,3407.490,0.000,0.000,0.00,0.00,no_room
2025.06.13 10:15:00,pullback,-1,3420.025,0.000,0.000,0.000,0.00,0.00,against_bias
2025.06.13 12:10:00,pullback,1,3424.147,3411.292,0.000,0.000,0.00,0.00,no_room
2025.06.13 12:30:00,pullback,1,3427.078,3411.289,0.000,0.000,0.00,0.00,no_room
2025.06.13 13:55:00,pullback,-1,3435.449,0.000,0.000,0.000,0.00,0.00,against_bias
2025.06.13 15:15:00,pullback,-1,3424.777,0.000,0.000,0.000,0.00,0.00,against_bias
2025.06.16 07:15:00,pullback,-1,3412.999,3420.362,0.000,0.000,0.00,0.00,no_room
2025.06.16 09:30:00,pullback,1,3418.566,0.000,0.000,0.000,0.00,0.00,against_bias
2025.06.16 09:55:00,pullback,-1,3413.009,3419.765,0.000,0.000,0.00,0.00,no_room
2025.06.16 10:35:00,pullback,1,3415.881,0.000,0.000,0.000,0.00,0.00,against_bias
2025.06.16 11:35:00,pullback,-1,3418.158,3416.122,0.000,0.000,0.00,0.00,sl_on_wrong_side
2025.06.16 13:55:00,pullback,-1,3405.914,3418.014,3386.979,3368.045,2.06,2.07,signal
2025.06.16 14:00:00,pullback,-1,3405.914,0.000,3386.979,0.000,0.00,0.00,missed_move
2025.06.16 15:30:00,pullback,1,3403.536,0.000,0.000,0.000,0.00,0.00,against_bias
2025.06.17 08:45:00,pullback,-1,3384.329,3387.727,0.000,0.000,0.00,0.00,no_room
2025.06.17 10:00:00,pullback,1,3384.772,0.000,0.000,0.000,0.00,0.00,against_bias
2025.06.17 11:05:00,pullback,1,3398.711,3378.765,0.000,0.000,0.00,0.00,no_room
2025.06.17 13:15:00,pullback,1,3391.590,3383.312,0.000,0.000,0.00,0.00,no_room
2025.06.17 14:35:00,pullback,-1,3383.716,0.000,0.000,0.000,0.00,0.00,against_bias
2025.06.18 07:30:00,pullback,-1,3379.400,0.000,0.000,0.000,0.00,0.00,against_bias
2025.06.18 08:00:00,pullback,1,3385.509,3376.762,0.000,0.000,0.00,0.00,no_room
2025.06.18 09:20:00,pullback,-1,3382.560,0.000,0.000,0.000,0.00,0.00,against_bias
2025.06.18 11:20:00,pullback,1,3382.389,0.000,0.000,0.000,0.00,0.00,against_bias
2025.06.18 12:25:00,pullback,1,3387.026,0.000,0.000,0.000,0.00,0.00,against_bias
2025.06.18 13:10:00,pullback,1,3389.918,3384.517,0.000,0.000,0.00,0.00,no_room
2025.06.18 14:20:00,pullback,-1,3384.801,0.000,0.000,0.000,0.00,0.00,against_bias
2025.06.18 15:50:00,pullback,1,3389.040,3380.884,0.000,0.000,0.00,0.00,no_room
2025.06.19 07:40:00,pullback,1,3358.724,0.000,0.000,0.000,0.00,0.00,against_bias
2025.06.19 08:45:00,pullback,1,3369.182,0.000,0.000,0.000,0.00,0.00,against_bias
2025.06.19 09:25:00,pullback,1,3371.651,0.000,0.000,0.000,0.00,0.00,against_bias
2025.06.19 10:20:00,pullback,1,3373.447,0.000,0.000,0.000,0.00,0.00,against_bias
2025.06.19 11:55:00,pullback,-1,3371.821,0.000,0.000,0.000,0.00,0.00,against_bias
2025.06.19 13:30:00,pullback,-1,3363.784,0.000,0.000,0.000,0.00,0.00,against_bias
2025.06.19 13:55:00,pullback,1,3371.359,3361.162,0.000,0.000,0.00,0.00,no_room
2025.06.19 15:10:00,pullback,1,3366.770,3361.296,0.000,0.000,0.00,0.00,no_room
2025.06.20 07:10:00,pullback,1,3348.714,0.000,0.000,0.000,0.00,0.00,against_bias
2025.06.20 09:10:00,pullback,1,3352.517,0.000,0.000,0.000,0.00,0.00,against_bias
2025.06.20 11:05:00,pullback,-1,3355.110,0.000,0.000,0.000,0.00,0.00,against_bias
2025.06.20 13:15:00,pullback,1,3350.723,3341.526,0.000,0.000,0.00,0.00,no_room
2025.06.23 07:15:00,pullback,-1,3352.644,3358.973,0.000,0.000,0.00,0.00,no_room
2025.06.23 08:05:00,pullback,1,3358.680,0.000,0.000,0.000,0.00,0.00,against_bias
2025.06.23 09:05:00,pullback,1,3362.382,0.000,0.000,0.000,0.00,0.00,against_bias
2025.06.23 11:05:00,pullback,1,3368.046,3364.533,0.000,0.000,0.00,0.00,no_room
2025.06.23 12:20:00,pullback,-1,3364.725,0.000,0.000,0.000,0.00,0.00,against_bias
2025.06.23 13:45:00,pullback,1,3381.353,3355.517,0.000,0.000,0.00,0.00,no_room
2025.06.23 15:25:00,pullback,1,3387.768,3369.508,0.000,0.000,0.00,0.00,no_room
2025.06.24 07:35:00,pullback,1,3326.073,0.000,0.000,0.000,0.00,0.00,against_bias
2025.06.24 08:00:00,pullback,1,3328.994,0.000,0.000,0.000,0.00,0.00,against_bias
2025.06.24 09:05:00,pullback,-1,3324.880,3328.808,0.000,0.000,0.00,0.00,no_room
2025.06.24 09:55:00,pullback,-1,3319.139,3329.041,0.000,0.000,0.00,0.00,no_room
2025.06.24 10:15:00,pullback,1,3323.312,0.000,0.000,0.000,0.00,0.00,against_bias
2025.06.24 12:15:00,pullback,-1,3317.829,3329.289,0.000,0.000,0.00,0.00,no_room
2025.06.24 13:30:00,pullback,-1,3311.426,3329.452,0.000,0.000,0.00,0.00,no_room
2025.06.24 15:05:00,pullback,-1,3301.852,3309.520,0.000,0.000,0.00,0.00,no_room
2025.06.24 15:30:00,pullback,1,3309.079,0.000,0.000,0.000,0.00,0.00,against_bias
