time_server,strategy,side,entry,sl,tp1,tp2,lots_tp1,lots_tp2,outcome
2026.06.10 07:09:00,pullback,1,4205.803,0.000,0.000,0.000,0.00,0.00,against_bias
2026.06.10 07:13:00,pullback,-1,4201.194,4206.089,4191.404,4181.613,5.10,5.11,signal
2026.06.10 08:01:00,pullback,-1,4181.480,4193.230,0.000,0.000,0.00,0.00,no_room
2026.06.10 08:12:00,pullback,1,4171.195,0.000,0.000,0.000,0.00,0.00,against_bias
2026.06.10 08:17:00,pullback,1,4172.326,0.000,0.000,0.000,0.00,0.00,against_bias
2026.06.10 08:33:00,pullback,-1,4168.203,4174.077,4156.454,4144.706,4.38,4.38,signal
2026.06.10 08:37:00,pullback,1,4173.773,0.000,0.000,0.000,0.00,0.00,against_bias
2026.06.10 08:42:00,pullback,1,4175.814,0.000,0.000,0.000,0.00,0.00,against_bias
2026.06.10 09:03:00,pullback,-1,4166.314,4176.681,4145.581,4124.847,2.45,2.46,signal
2026.06.10 09:49:00,pullback,-1,4167.670,4179.716,0.000,0.000,0.00,0.00,no_room
2026.06.10 09:53:00,pullback,-1,4165.877,4175.023,0.000,0.000,0.00,0.00,no_room
2026.06.10 10:07:00,pullback,-1,4163.025,4171.262,0.000,0.000,0.00,0.00,no_room
2026.06.10 10:20:00,pullback,1,4162.145,0.000,0.000,0.000,0.00,0.00,against_bias
2026.06.10 10:45:00,pullback,1,4169.167,0.000,0.000,0.000,0.00,0.00,against_bias
2026.06.10 11:04:00,pullback,-1,4171.202,4178.733,4161.542,4151.882,3.35,3.35,signal
2026.06.10 11:05:00,pullback,-1,4171.202,0.000,4161.542,0.000,0.00,0.00,missed_move
2026.06.10 11:25:00,pullback,-1,4164.528,4171.945,0.000,0.000,0.00,0.00,no_room
2026.06.10 11:38:00,pullback,-1,4161.286,4168.485,0.000,0.000,0.00,0.00,no_room
2026.06.10 11:45:00,pullback,-1,4156.201,4168.411,4131.780,4107.360,2.06,2.07,signal
2026.06.10 12:31:00,pullback,1,4142.053,0.000,0.000,0.000,0.00,0.00,against_bias
2026.06.10 12:51:00,pullback,-1,4157.467,4170.253,4131.895,4106.324,1.98,1.98,signal
2026.06.10 13:50:00,pullback,1,4185.207,0.000,0.000,0.000,0.00,0.00,against_bias
2026.06.10 14:01:00,pullback,-1,4175.327,4186.923,0.000,0.000,0.00,0.00,no_room
2026.06.10 14:16:00,pullback,-1,4170.513,4186.863,0.000,0.000,0.00,0.00,no_room
2026.06.10 14:29:00,pullback,-1,4162.659,4173.463,0.000,0.000,0.00,0.00,no_room
2026.06.10 14:37:00,pullback,-1,4155.449,4173.435,4128.945,4102.442,1.39,1.40,signal
2026.06.11 07:16:00,pullback,1,4097.708,0.000,0.000,0.000,0.00,0.00,against_bias
2026.06.11 07:25:00,pullback,1,4106.361,0.000,0.000,0.000,0.00,0.00,against_bias
2026.06.11 07:36:00,pullback,-1,4106.010,0.000,0.000,0.000,0.00,0.00,against_bias
2026.06.11 07:51:00,pullback,-1,4101.485,0.000,0.000,0.000,0.00,0.00,against_bias
2026.06.11 08:01:00,pullback,1,4109.472,4098.858,0.000,0.000,0.00,0.00,no_room
2026.06.11 08:17:00,pullback,-1,4105.308,0.000,0.000,0.000,0.00,0.00,against_bias
2026.06.11 08:29:00,pullback,-1,4100.396,0.000,0.000,0.000,0.00,0.00,against_bias
2026.06.11 08:42:00,pullback,-1,4094.059,0.000,0.000,0.000,0.00,0.00,against_bias
2026.06.11 08:54:00,pullback,-1,4088.787,0.000,0.000,0.000,0.00,0.00,against_bias
2026.06.11 09:00:00,pullback,-1,4085.075,0.000,0.000,0.000,0.00,0.00,against_bias
2026.06.11 09:09:00,pullback,-1,4083.142,0.000,0.000,0.000,0.00,0.00,against_bias
2026.06.11 09:17:00,pullback,1,4087.274,4080.441,4100.939,4114.604,3.75,3.76,signal
2026.06.11 09:38:00,pullback,1,4083.033,4077.133,4094.834,4106.635,4.30,4.31,signal
2026.06.11 09:48:00,pullback,1,4083.033,0.000,4094.834,0.000,0.00,0.00,missed_move
2026.06.11 10:18:00,pullback,-1,4088.098,0.000,0.000,0.000,0.00,0.00,against_bias
2026.06.11 10:24:00,pullback,1,4092.941,4086.451,4105.922,4118.903,3.91,3.91,signal
2026.06.11 10:49:00,pullback,-1,4088.693,0.000,0.000,0.000,0.00,0.00,against_bias
2026.06.11 10:52:00,pullback,1,4091.486,4088.539,0.000,0.000,0.00,0.00,sl_too_tight
2026.06.11 11:05:00,pullback,1,4091.508,4086.464,4101.596,4111.684,4.98,4.99,signal
2026.06.11 11:15:00,pullback,-1,4087.855,0.000,0.000,0.000,0.00,0.00,against_bias
2026.06.11 11:29:00,pullback,1,4088.624,4082.959,4099.954,4111.284,4.39,4.40,signal
2026.06.12 07:19:00,pullback,-1,4175.954,4183.071,0.000,0.000,0.00,0.00,no_room
2026.06.12 07:28:00,pullback,1,4179.206,0.000,0.000,0.000,0.00,0.00,against_bias
2026.06.12 07:33:00,pullback,-1,4174.137,4180.146,0.000,0.000,0.00,0.00,no_room
2026.06.12 07:41:00,pullback,1,4179.924,0.000,0.000,0.000,0.00,0.00,against_bias
2026.06.12 07:50:00,pullback,-1,4176.124,4185.050,0.000,0.000,0.00,0.00,no_room
2026.06.12 07:59:00,pullback,1,4184.802,0.000,0.000,0.000,0.00,0.00,against_bias
2026.06.12 08:12:00,pullback,1,4203.015,0.000,0.000,0.000,0.00,0.00,against_bias
2026.06.12 08:39:00,pullback,1,4220.163,4215.001,0.000,0.000,0.00,0.00,no_room
2026.06.12 08:41:00,pullback,-1,4215.309,0.000,0.000,0.000,0.00,0.00,against_bias
2026.06.12 08:55:00,pullback,1,4220.175,4214.295,0.000,0.000,0.00,0.00,no_room
2026.06.12 09:15:00,pullback,1,4223.883,4219.163,4233.323,4242.762,5.22,5.22,signal
2026.06.12 09:23:00,pullback,-1,4220.925,0.000,0.000,0.000,0.00,0.00,against_bias
2026.06.12 09:36:00,pullback,1,4225.810,4218.954,4239.522,4253.234,3.56,3.56,signal
2026.06.12 10:18:00,pullback,-1,4220.107,0.000,0.000,0.000,0.00,0.00,against_bias
2026.06.12 10:49:00,pullback,1,4217.474,4213.928,0.000,0.000,0.00,0.00,no_room
2026.06.12 10:52:00,pullback,-1,4214.093,0.000,0.000,0.000,0.00,0.00,against_bias
2026.06.12 11:05:00,pullback,-1,4209.168,0.000,0.000,0.000,0.00,0.00,against_bias
2026.06.12 11:24:00,pullback,1,4208.040,4203.559,4217.002,4225.963,5.39,5.39,signal
2026.06.12 11:30:00,pullback,-1,4203.753,0.000,0.000,0.000,0.00,0.00,against_bias
2026.06.12 11:47:00,pullback,1,4210.368,4197.179,0.000,0.000,0.00,0.00,no_room
2026.06.12 11:54:00,pullback,1,4211.906,4197.188,0.000,0.000,0.00,0.00,no_room
2026.06.12 11:59:00,pullback,-1,4208.456,0.000,0.000,0.000,0.00,0.00,against_bias
2026.06.12 12:26:00,pullback,-1,4202.761,0.000,0.000,0.000,0.00,0.00,against_bias
2026.06.12 12:56:00,pullback,-1,4193.484,0.000,0.000,0.000,0.00,0.00,against_bias
2026.06.12 13:08:00,pullback,1,4197.857,4186.210,0.000,0.000,0.00,0.00,no_room
2026.06.12 13:17:00,pullback,1,4201.102,4193.250,0.000,0.000,0.00,0.00,no_room
2026.06.12 13:32:00,pullback,-1,4201.356,0.000,0.000,0.000,0.00,0.00,against_bias
2026.06.12 13:39:00,pullback,1,4205.469,4196.548,4219.592,4233.714,2.68,2.68,signal
2026.06.15 07:05:00,pullback,1,4309.635,4305.081,4316.710,4323.785,5.20,5.20,signal
2026.06.15 08:18:00,pullback,1,4329.026,4323.890,0.000,0.000,0.00,0.00,no_room
2026.06.15 08:32:00,pullback,1,4331.910,4327.670,0.000,0.000,0.00,0.00,no_room
2026.06.15 08:45:00,pullback,-1,4341.881,0.000,0.000,0.000,0.00,0.00,against_bias
2026.06.15 09:00:00,pullback,-1,4334.790,0.000,0.000,0.000,0.00,0.00,against_bias
2026.06.15 09:04:00,pullback,1,4339.230,4333.866,0.000,0.000,0.00,0.00,no_room
2026.06.15 09:24:00,pullback,1,4341.916,4336.892,0.000,0.000,0.00,0.00,no_room
2026.06.15 09:26:00,pullback,-1,4337.080,0.000,0.000,0.000,0.00,0.00,against_bias
2026.06.15 09:35:00,pullback,-1,4336.324,0.000,0.000,0.000,0.00,0.00,against_bias
2026.06.15 10:05:00,pullback,-1,4335.869,0.000,0.000,0.000,0.00,0.00,against_bias
2026.06.15 10:28:00,pullback,1,4339.051,4336.058,0.000,0.000,0.00,0.00,sl_too_tight
2026.06.15 10:33:00,pullback,1,4339.415,4336.059,0.000,0.000,0.00,0.00,no_room
2026.06.15 10:40:00,pullback,-1,4337.232,0.000,0.000,0.000,0.00,0.00,against_bias
2026.06.15 10:46:00,pullback,1,4340.196,4334.969,0.000,0.000,0.00,0.00,no_room
2026.06.15 11:30:00,pullback,1,4340.394,4336.053,0.000,0.000,0.00,0.00,no_room
2026.06.15 11:45:00,pullback,-1,4341.495,0.000,0.000,0.000,0.00,0.00,against_bias
2026.06.15 12:04:00,pullback,1,4336.925,4333.580,4342.218,4347.511,7.24,7.25,signal
2026.06.15 12:15:00,pullback,-1,4334.262,0.000,0.000,0.000,0.00,0.00,against_bias
2026.06.15 12:31:00,pullback,1,4338.237,4324.331,0.000,0.000,0.00,0.00,no_room
2026.06.15 12:35:00,pullback,1,4341.379,4324.356,0.000,0.000,0.00,0.00,no_room
2026.06.15 12:51:00,pullback,1,4346.810,4342.988,0.000,0.000,0.00,0.00,no_room
2026.06.15 13:03:00,pullback,-1,4343.667,0.000,0.000,0.000,0.00,0.00,against_bias
2026.06.15 13:16:00,pullback,1,4349.392,4341.079,0.000,0.000,0.00,0.00,no_room
2026.06.15 13:22:00,pullback,1,4353.831,4341.097,0.000,0.000,0.00,0.00,no_room
2026.06.15 13:31:00,pullback,1,4355.786,4351.164,4363.180,4370.574,5.19,5.19,signal
2026.06.15 13:33:00,pullback,1,4355.786,0.000,4363.180,0.000,0.00,0.00,missed_move
2026.06.15 13:42:00,pullback,1,4365.055,4359.143,4376.879,4388.703,4.05,4.06,signal
2026.06.15 13:51:00,pullback,-1,4359.474,0.000,0.000,0.000,0.00,0.00,against_bias
2026.06.15 13:59:00,pullback,-1,4356.588,0.000,0.000,0.000,0.00,0.00,against_bias
2026.06.15 14:06:00,pullback,1,4361.952,4353.415,0.000,0.000,0.00,0.00,no_room
2026.06.15 14:30:00,pullback,1,4363.077,4353.562,0.000,0.000,0.00,0.00,no_room
2026.06.15 14:51:00,pullback,1,4361.900,4354.347,0.000,0.000,0.00,0.00,no_room
2026.06.15 14:59:00,pullback,-1,4359.017,0.000,0.000,0.000,0.00,0.00,against_bias
2026.06.15 15:12:00,pullback,-1,4351.402,0.000,0.000,0.000,0.00,0.00,against_bias
2026.06.15 15:24:00,pullback,1,4356.020,4349.788,4363.197,4370.374,3.81,3.81,signal
2026.06.15 15:43:00,pullback,1,4358.169,4349.255,0.000,0.000,0.00,0.00,no_room
2026.06.16 07:05:00,pullback,1,4326.018,4315.141,0.000,0.000,0.00,0.00,no_room
2026.06.16 07:23:00,pullback,-1,4325.544,0.000,0.000,0.000,0.00,0.00,against_bias
2026.06.16 07:28:00,pullback,1,4328.464,4325.385,0.000,0.000,0.00,0.00,no_room
2026.06.16 07:53:00,pullback,1,4331.514,4326.211,0.000,0.000,0.00,0.00,no_room
2026.06.16 07:58:00,pullback,1,4333.205,4326.218,0.000,0.000,0.00,0.00,no_room
2026.06.16 08:10:00,pullback,1,4335.519,4326.187,0.000,0.000,0.00,0.00,no_room
2026.06.16 08:16:00,pullback,1,4339.998,4326.179,0.000,0.000,0.00,0.00,no_room
2026.06.16 08:27:00,pullback,1,4341.960,4337.576,0.000,0.000,0.00,0.00,no_room
2026.06.16 08:39:00,pullback,-1,4339.613,0.000,0.000,0.000,0.00,0.00,against_bias
