time_server,strategy,side,entry,sl,tp1,tp2,lots_tp1,lots_tp2,outcome
2025.06.02 12:30:00,pullback,1,3359.037,3344.043,0.000,0.000,0.00,0.00,no_room
2025.06.02 13:45:00,pullback,1,3363.587,3343.914,0.000,0.000,0.00,0.00,no_room
2025.06.03 12:15:00,pullback,-1,3353.305,0.000,0.000,0.000,0.00,0.00,against_bias
2025.06.03 14:00:00,pullback,-1,3349.030,3363.692,3331.968,3314.907,1.70,1.71,signal
2025.06.04 11:00:00,pullback,-1,3351.704,3365.468,0.000,0.000,0.00,0.00,no_room
2025.06.04 14:15:00,pullback,1,3362.827,0.000,0.000,0.000,0.00,0.00,against_bias
2025.06.05 08:45:00,pullback,1,3374.534,3360.763,0.000,0.000,0.00,0.00,no_room
2025.06.05 15:00:00,pullback,-1,3371.133,0.000,0.000,0.000,0.00,0.00,against_bias
2025.06.06 14:00:00,pullback,-1,3343.530,3365.166,0.000,0.000,0.00,0.00,no_room
2025.06.09 14:15:00,pullback,1,3322.432,0.000,0.000,0.000,0.00,0.00,against_bias
2025.06.09 15:30:00,pullback,1,3326.839,0.000,0.000,0.000,0.00,0.00,against_bias
2025.06.10 08:15:00,pullback,1,3331.322,0.000,0.000,0.000,0.00,0.00,against_bias
2025.06.10 10:30:00,pullback,1,3331.863,0.000,0.000,0.000,0.00,0.00,against_bias
2025.06.10 13:30:00,pullback,1,3342.587,0.000,0.000,0.000,0.00,0.00,against_bias
2025.06.10 15:15:00,pullback,-1,3328.200,0.000,0.000,0.000,0.00,0.00,against_bias
2025.06.11 08:00:00,pullback,1,3343.147,3332.050,0.000,0.000,0.00,0.00,no_room
2025.06.11 10:30:00,pullback,-1,3332.476,0.000,0.000,0.000,0.00,0.00,against_bias
2025.06.11 12:45:00,pullback,1,3348.531,3325.485,0.000,0.000,0.00,0.00,no_room
2025.06.12 07:45:00,pullback,-1,3365.254,0.000,0.000,0.000,0.00,0.00,against_bias
2025.06.12 10:30:00,pullback,1,3375.627,3337.718,0.000,0.000,0.00,0.00,no_room
2025.06.12 13:45:00,pullback,1,3388.581,3372.352,0.000,0.000,0.00,0.00,no_room
2025.06.13 12:45:00,pullback,1,3427.684,3410.991,0.000,0.000,0.00,0.00,no_room
2025.06.16 11:00:00,pullback,1,3419.502,3409.301,3434.544,3449.586,2.42,2.43,signal
2025.06.16 13:45:00,pullback,-1,3410.826,0.000,0.000,0.000,0.00,0.00,against_bias
2025.06.17 09:00:00,pullback,-1,3381.074,3392.442,0.000,0.000,0.00,0.00,no_room
2025.06.17 10:30:00,pullback,1,3391.923,0.000,0.000,0.000,0.00,0.00,against_bias
2025.06.17 14:45:00,pullback,-1,3383.522,3398.238,0.000,0.000,0.00,0.00,no_room
2025.06.18 10:30:00,pullback,-1,3377.037,3388.800,0.000,0.000,0.00,0.00,no_room
2025.06.18 12:45:00,pullback,1,3388.415,0.000,0.000,0.000,0.00,0.00,against_bias
2025.06.19 10:30:00,pullback,1,3375.326,0.000,0.000,0.000,0.00,0.00,against_bias
2025.06.19 13:30:00,pullback,-1,3363.784,3379.499,0.000,0.000,0.00,0.00,no_room
2025.06.20 09:30:00,pullback,1,3355.316,0.000,0.000,0.000,0.00,0.00,against_bias
2025.06.20 13:45:00,pullback,1,3359.224,0.000,0.000,0.000,0.00,0.00,against_bias
2025.06.23 08:30:00,pullback,1,3359.838,3351.168,0.000,0.000,0.00,0.00,no_room
2025.06.23 11:15:00,pullback,1,3368.980,3351.261,0.000,0.000,0.00,0.00,no_room
